Price,Close,High,Low,Open,Volume
Ticker,5PAISA.NS,5PAISA.NS,5PAISA.NS,5PAISA.NS,5PAISA.NS
2025-05-26,398.6499938964844,412.5,397.04998779296875,404.5,36414
2025-05-27,407.3999938964844,410.0,395.8999938964844,400.45001220703125,33662
2025-05-28,411.8999938964844,417.75,405.29998779296875,408.95001220703125,44106
2025-05-29,409.0,416.04998779296875,405.6499938964844,416.0,37459
2025-05-30,410.95001220703125,413.70001220703125,407.1000061035156,409.0,21626
2025-06-02,418.8999938964844,423.0,406.5,413.25,45022
2025-06-03,405.5,427.8999938964844,401.20001220703125,421.95001220703125,39574
2025-06-04,404.70001220703125,408.70001220703125,400.3500061035156,406.20001220703125,23751
2025-06-05,404.75,412.20001220703125,400.1000061035156,406.70001220703125,23713
2025-06-06,409.6499938964844,413.0,397.3500061035156,405.0,83325
2025-06-09,423.70001220703125,432.0,409.95001220703125,410.0,85014
2025-06-10,425.3500061035156,433.70001220703125,418.8500061035156,429.0,44952
2025-06-11,416.25,425.95001220703125,411.0,421.70001220703125,37133
2025-06-12,405.75,420.0,403.0,416.25,28826
2025-06-13,404.29998779296875,415.0,390.5,398.0,37691
2025-06-16,407.0,409.0,395.79998779296875,404.29998779296875,28052
2025-06-17,399.45001220703125,409.0,398.0,407.1000061035156,19434
2025-06-18,397.54998779296875,404.95001220703125,394.5,395.5,17242
2025-06-19,388.95001220703125,399.04998779296875,383.3500061035156,398.54998779296875,31206
2025-06-20,390.0,393.20001220703125,386.04998779296875,391.6499938964844,19699
2025-06-23,392.70001220703125,396.0,383.54998779296875,388.95001220703125,31716
2025-06-24,402.3500061035156,404.6000061035156,396.0,399.0,22318
2025-06-25,414.79998779296875,419.8999938964844,400.29998779296875,411.0,55720
2025-06-26,410.6499938964844,423.20001220703125,408.04998779296875,414.79998779296875,33315
2025-06-27,409.75,417.0,408.0,412.8999938964844,23860
2025-06-30,412.5,420.0,410.3999938964844,411.54998779296875,28709
2025-07-01,413.0,420.95001220703125,409.3500061035156,416.6000061035156,26382
2025-07-02,414.04998779296875,418.8500061035156,407.0,410.0,21072
2025-07-03,417.25,420.04998779296875,413.1000061035156,414.1499938964844,26560
2025-07-04,413.6000061035156,420.70001220703125,409.79998779296875,417.5,35568
2025-07-07,423.5,432.5,413.6000061035156,417.75,81251
2025-07-08,416.25,431.0,410.6000061035156,431.0,52670
2025-07-09,412.8999938964844,423.3999938964844,391.3999938964844,408.20001220703125,442498
2025-07-10,409.6499938964844,416.20001220703125,407.0,415.0,36153
2025-07-11,399.25,410.95001220703125,396.0,407.0,41255
2025-07-14,401.5,412.0,396.0,401.0,25974
2025-07-15,402.8500061035156,414.0,401.0,401.0,22232
2025-07-16,401.25,405.20001220703125,400.0,404.0,21802
2025-07-17,400.29998779296875,407.0,399.79998779296875,404.8500061035156,21566
2025-07-18,395.8500061035156,403.6499938964844,395.0,398.29998779296875,18733
2025-07-21,396.04998779296875,398.0,392.0,398.0,17021
2025-07-22,395.29998779296875,399.95001220703125,394.0,399.95001220703125,17732
2025-07-23,392.8999938964844,397.25,392.04998779296875,394.0,13818
2025-07-24,388.5,397.8999938964844,387.3500061035156,396.8500061035156,20000
2025-07-25,383.8999938964844,396.1000061035156,381.3500061035156,392.3999938964844,31533
2025-07-28,376.3500061035156,384.75,373.04998779296875,383.8999938964844,29275
2025-07-29,388.20001220703125,393.95001220703125,370.79998779296875,374.0,26640
2025-07-30,389.1499938964844,394.0,385.0,389.29998779296875,15197
2025-07-31,385.25,389.6499938964844,381.20001220703125,389.0,9943
2025-08-01,381.1000061035156,395.0,373.3500061035156,385.25,19346
2025-08-04,375.20001220703125,381.0,367.95001220703125,378.0,28995
2025-08-05,379.5,383.95001220703125,375.70001220703125,378.04998779296875,9977
2025-08-06,376.8999938964844,381.0,372.1499938964844,372.1499938964844,10680
2025-08-07,367.6000061035156,380.0,363.5,380.0,29422
2025-08-08,369.29998779296875,379.95001220703125,362.3500061035156,368.95001220703125,11903
2025-08-11,375.0,378.95001220703125,366.79998779296875,370.70001220703125,15752
2025-08-12,369.5,374.95001220703125,366.3500061035156,369.5,7989
2025-08-13,370.6499938964844,378.3500061035156,368.0,370.95001220703125,10425
2025-08-14,363.6000061035156,372.0,360.3500061035156,365.1000061035156,16933
2025-08-18,367.29998779296875,372.20001220703125,365.5,366.0,13480
2025-08-19,375.75,378.0,364.5,367.29998779296875,14010
2025-08-20,373.8500061035156,377.0,371.1000061035156,372.0,8296
2025-08-21,373.54998779296875,378.20001220703125,371.3999938964844,374.0,14971
2025-08-22,369.0,373.8500061035156,366.0,373.0,12264
2025-08-25,362.45001220703125,370.95001220703125,360.0,369.0,22032
2025-08-26,357.8999938964844,362.45001220703125,350.0,362.45001220703125,17093
2025-08-28,356.1499938964844,361.0,352.75,357.1000061035156,9452
2025-08-29,355.95001220703125,361.0,352.54998779296875,355.8999938964844,12439
2025-09-01,359.75,363.70001220703125,354.0,355.0,13673
2025-09-02,362.29998779296875,367.0,356.5,356.5,13386
2025-09-03,362.54998779296875,369.8999938964844,358.6000061035156,362.29998779296875,16351
