Price,Close,High,Low,Open,Volume
Ticker,AAKASH.NS,AAKASH.NS,AAKASH.NS,AAKASH.NS,AAKASH.NS
2025-05-26,8.289999961853027,8.649999618530273,8.180000305175781,8.649999618530273,215155
2025-05-27,8.289999961853027,8.390000343322754,8.260000228881836,8.390000343322754,71253
2025-05-28,8.399999618530273,8.470000267028809,8.210000038146973,8.25,186244
2025-05-29,8.210000038146973,8.529999732971191,8.199999809265137,8.529999732971191,166152
2025-05-30,8.289999961853027,8.390000343322754,8.210000038146973,8.210000038146973,63462
2025-06-02,8.350000381469727,8.420000076293945,8.180000305175781,8.289999961853027,119463
2025-06-03,7.869999885559082,8.399999618530273,7.059999942779541,8.239999771118164,189331
2025-06-04,8.130000114440918,8.170000076293945,7.900000095367432,7.900000095367432,352535
2025-06-05,8.140000343322754,8.279999732971191,8.109999656677246,8.239999771118164,86158
2025-06-06,8.34000015258789,8.449999809265137,8.210000038146973,8.220000267028809,120679
2025-06-09,8.460000038146973,8.789999961853027,8.25,8.420000076293945,301795
2025-06-10,8.399999618530273,8.65999984741211,8.079999923706055,8.5600004196167,297132
2025-06-11,8.550000190734863,8.699999809265137,8.420000076293945,8.529999732971191,156050
2025-06-12,8.40999984741211,8.619999885559082,8.369999885559082,8.4399995803833,131305
2025-06-13,8.420000076293945,8.739999771118164,8.260000228881836,8.300000190734863,251153
2025-06-16,9.3100004196167,10.100000381469727,8.430000305175781,8.739999771118164,1376004
2025-06-17,8.760000228881836,9.489999771118164,8.449999809265137,9.489999771118164,591721
2025-06-18,9.699999809265137,10.510000228881836,9.010000228881836,9.010000228881836,3669694
2025-06-19,11.640000343322754,11.640000343322754,10.75,10.989999771118164,6094498
2025-06-20,12.220000267028809,13.600000381469727,11.640000343322754,12.300000190734863,10850960
2025-06-23,13.319999694824219,13.4399995803833,12.529999732971191,12.800000190734863,7247963
2025-06-24,12.729999542236328,13.789999961853027,12.350000381469727,13.300000190734863,4179721
2025-06-25,12.109999656677246,13.09000015258789,12.09000015258789,12.729999542236328,916424
2025-06-26,11.5,12.0,11.5,12.0,252603
2025-06-27,10.920000076293945,10.920000076293945,10.920000076293945,10.920000076293945,301891
2025-06-30,10.369999885559082,10.390000343322754,10.369999885559082,10.369999885559082,332764
2025-07-01,10.880000114440918,10.880000114440918,9.850000381469727,9.850000381469727,452179
2025-07-02,11.420000076293945,11.420000076293945,10.359999656677246,11.380000114440918,618473
2025-07-03,11.039999961853027,11.699999809265137,11.0,11.600000381469727,476670
2025-07-04,11.010000228881836,11.199999809265137,10.550000190734863,11.09000015258789,295106
2025-07-07,10.710000038146973,11.0,10.449999809265137,11.0,272717
2025-07-08,10.479999542236328,10.75,10.399999618530273,10.399999618530273,161570
2025-07-09,10.319999694824219,10.65999984741211,10.1899995803833,10.550000190734863,212901
2025-07-10,10.130000114440918,10.75,10.0,10.3100004196167,193206
2025-07-11,10.050000190734863,10.239999771118164,9.899999618530273,10.050000190734863,145425
2025-07-14,10.029999732971191,10.149999618530273,9.899999618530273,9.949999809265137,133122
2025-07-15,10.279999732971191,10.479999542236328,10.010000228881836,10.010000228881836,158245
2025-07-16,10.229999542236328,10.510000228881836,9.8100004196167,10.109999656677246,146480
2025-07-17,10.289999961853027,10.390000343322754,10.050000190734863,10.199999809265137,106152
2025-07-18,10.170000076293945,10.460000038146973,10.050000190734863,10.460000038146973,92828
2025-07-21,10.039999961853027,10.300000190734863,9.800000190734863,9.970000267028809,160940
2025-07-22,9.880000114440918,10.390000343322754,9.8100004196167,10.100000381469727,181668
2025-07-23,9.9399995803833,10.229999542236328,9.75,9.989999771118164,97083
2025-07-24,9.979999542236328,10.149999618530273,9.800000190734863,10.029999732971191,85208
2025-07-25,9.890000343322754,9.960000038146973,9.800000190734863,9.960000038146973,65666
2025-07-28,9.90999984741211,10.1899995803833,9.609999656677246,9.8100004196167,115744
2025-07-29,10.119999885559082,10.25,9.829999923706055,10.1899995803833,112782
2025-07-30,9.8100004196167,10.359999656677246,9.649999618530273,10.359999656677246,63271
2025-07-31,9.789999961853027,10.0,9.350000381469727,9.75,134345
2025-08-01,9.90999984741211,9.979999542236328,9.75,9.979999542236328,51219
2025-08-04,9.829999923706055,10.100000381469727,9.569999694824219,10.100000381469727,105216
2025-08-05,9.9399995803833,10.25,9.550000190734863,10.029999732971191,174915
2025-08-06,9.979999542236328,10.199999809265137,9.899999618530273,9.9399995803833,100933
2025-08-07,10.039999961853027,10.1899995803833,9.800000190734863,10.1899995803833,99845
2025-08-08,10.029999732971191,10.1899995803833,9.90999984741211,9.90999984741211,64023
2025-08-11,10.199999809265137,10.529999732971191,9.949999809265137,9.949999809265137,194161
2025-08-12,10.460000038146973,10.600000381469727,10.010000228881836,10.199999809265137,169907
2025-08-13,10.399999618530273,10.699999809265137,10.25,10.449999809265137,98864
2025-08-14,10.420000076293945,10.760000228881836,10.3100004196167,10.760000228881836,97399
2025-08-18,10.9399995803833,10.9399995803833,10.630000114440918,10.9399995803833,280972
2025-08-19,11.210000038146973,11.479999542236328,11.0,11.390000343322754,532806
2025-08-20,11.119999885559082,11.5,10.640000343322754,11.289999961853027,391226
2025-08-21,10.720000267028809,11.119999885559082,10.5600004196167,11.119999885559082,160098
2025-08-22,10.619999885559082,10.930000305175781,10.3100004196167,10.3100004196167,84343
2025-08-25,10.800000190734863,11.0,10.600000381469727,10.630000114440918,92762
2025-08-26,10.75,10.899999618530273,10.520000457763672,10.800000190734863,144210
2025-08-28,10.5600004196167,10.949999809265137,10.520000457763672,10.520000457763672,58829
2025-08-29,10.300000190734863,10.800000190734863,10.109999656677246,10.350000381469727,75700
2025-09-01,10.350000381469727,10.600000381469727,10.300000190734863,10.300000190734863,38985
2025-09-02,10.359999656677246,10.550000190734863,10.199999809265137,10.449999809265137,64780
2025-09-03,10.289999961853027,10.489999771118164,10.079999923706055,10.40999984741211,120885
2025-09-04,10.199999809265137,10.800000190734863,10.109999656677246,10.800000190734863,80585
2025-09-05,10.229999542236328,10.369999885559082,10.010000228881836,10.010000228881836,80151
2025-09-08,10.3100004196167,10.479999542236328,9.920000076293945,10.449999809265137,188098
2025-09-09,10.09000015258789,10.520000457763672,10.0,10.510000228881836,66391
2025-09-10,10.140000343322754,10.399999618530273,9.90999984741211,10.09000015258789,73011
2025-09-11,10.010000228881836,10.329999923706055,9.960000038146973,10.300000190734863,90669
2025-09-12,10.0,10.170000076293945,9.899999618530273,10.010000228881836,72811
2025-09-15,9.970000267028809,10.140000343322754,9.770000457763672,9.770000457763672,171970
2025-09-16,9.989999771118164,10.449999809265137,9.800000190734863,9.800000190734863,64444
2025-09-17,10.0,10.149999618530273,9.989999771118164,9.989999771118164,48121
2025-09-18,10.010000228881836,10.100000381469727,9.949999809265137,9.949999809265137,84724
2025-09-19,10.010000228881836,10.100000381469727,9.899999618530273,9.899999618530273,48704
2025-09-22,9.979999542236328,10.09000015258789,9.899999618530273,10.020000457763672,87832
2025-09-23,9.920000076293945,10.079999923706055,9.8100004196167,10.0,61468
2025-09-24,9.989999771118164,10.119999885559082,9.510000228881836,10.119999885559082,108902
2025-09-25,9.90999984741211,10.0,9.800000190734863,9.8100004196167,58547
2025-09-26,9.6899995803833,10.0,9.619999885559082,9.8100004196167,89449
2025-09-29,9.640000343322754,10.289999961853027,9.619999885559082,10.289999961853027,86499
