Price,Close,High,Low,Open,Volume
Ticker,AETHER.NS,AETHER.NS,AETHER.NS,AETHER.NS,AETHER.NS
2025-05-26,750.4000244140625,759.0,746.6500244140625,749.9500122070312,235221
2025-05-27,749.2000122070312,756.0,744.9000244140625,756.0,210116
2025-05-28,745.9500122070312,755.0,744.0999755859375,755.0,117495
2025-05-29,745.9500122070312,753.4500122070312,742.75,749.7000122070312,86288
2025-05-30,745.1500244140625,750.7000122070312,744.1500244140625,748.0,107506
2025-06-02,746.4500122070312,750.7000122070312,744.5499877929688,746.9500122070312,142754
2025-06-03,745.8499755859375,754.5,743.0,749.0,244945
2025-06-04,775.2000122070312,779.9000244140625,743.2000122070312,745.2999877929688,608078
2025-06-05,801.4000244140625,812.2000122070312,773.5499877929688,776.5,721386
2025-06-06,789.9500122070312,807.4000244140625,778.0999755859375,804.9500122070312,247148
2025-06-09,809.0499877929688,817.1500244140625,794.0499877929688,800.0,292432
2025-06-10,799.8499755859375,812.7999877929688,797.5,812.4500122070312,114557
2025-06-11,797.8499755859375,805.3499755859375,792.25,803.9500122070312,105377
2025-06-12,788.5,810.75,786.0,800.0,181513
2025-06-13,792.4000244140625,799.4000244140625,770.0499877929688,778.8499755859375,143054
2025-06-16,791.5,798.0,781.2000122070312,785.0,64364
2025-06-17,787.9500122070312,800.0,785.0,798.0,179871
2025-06-18,768.5999755859375,795.2000122070312,766.7000122070312,790.0,123453
2025-06-19,760.8499755859375,775.75,748.0,768.5999755859375,154177
2025-06-20,775.7000122070312,780.6500244140625,753.75,760.8499755859375,153746
2025-06-23,764.1500244140625,772.9500122070312,761.2000122070312,770.0,81072
2025-06-24,773.5,780.75,760.0499877929688,775.0,143906
2025-06-25,778.25,783.9500122070312,765.0,765.0,93019
2025-06-26,769.4500122070312,786.0,768.5,782.0,180602
2025-06-27,765.7000122070312,776.0,764.0499877929688,776.0,66159
2025-06-30,761.75,773.3499755859375,760.5499877929688,769.0,97775
2025-07-01,757.75,766.2000122070312,754.0,763.0,79551
2025-07-02,751.9500122070312,762.8499755859375,750.0999755859375,758.0999755859375,105279
2025-07-03,754.9000244140625,760.0,746.5,756.75,113690
2025-07-04,778.7999877929688,785.0,754.9000244140625,757.9000244140625,445964
2025-07-07,793.5,799.9000244140625,775.25,778.7999877929688,310587
2025-07-08,782.4000244140625,811.5,780.0999755859375,796.0,170364
2025-07-09,780.8499755859375,787.6500244140625,777.5499877929688,786.25,71947
