Price,Close,High,Low,Open,Volume
Ticker,AGIIL.NS,AGIIL.NS,AGIIL.NS,AGIIL.NS,AGIIL.NS
2025-05-26,172.92999267578125,180.97999572753906,170.89999389648438,180.17999267578125,484265
2025-05-27,173.94000244140625,176.5399932861328,171.13999938964844,174.5399932861328,328055
2025-05-28,164.30999755859375,177.1999969482422,163.1999969482422,175.1999969482422,497670
2025-05-29,168.22000122070312,173.35000610351562,164.02000427246094,166.0,1192560
2025-05-30,169.7899932861328,175.39999389648438,166.1999969482422,170.0,1305535
2025-06-02,167.3699951171875,171.5,165.60000610351562,169.80999755859375,364710
2025-06-03,166.17999267578125,172.27999877929688,162.5800018310547,170.0,2154845
2025-06-04,167.50999450683594,171.0,164.0,168.17999267578125,366695
2025-06-05,179.4600067138672,182.60000610351562,169.19000244140625,169.19000244140625,818615
2025-06-06,179.69000244140625,185.1999969482422,175.25999450683594,181.97999572753906,3206620
2025-06-09,183.02999877929688,188.3699951171875,178.4600067138672,180.22000122070312,1871570
2025-06-10,186.4600067138672,187.5500030517578,181.30999755859375,185.0,2496750
2025-06-11,181.75999450683594,190.0,179.42999267578125,187.97999572753906,2369395
2025-06-12,173.1300048828125,185.8000030517578,172.0,185.8000030517578,1575480
2025-06-13,174.39999389648438,175.9600067138672,165.47999572753906,171.0,670040
2025-06-16,171.39999389648438,176.2100067138672,169.4199981689453,176.13999938964844,354890
2025-06-17,174.02000427246094,178.0,169.5800018310547,172.0,500695
2025-06-18,174.89999389648438,182.49000549316406,171.5,177.0,1554245
2025-06-19,172.32000732421875,178.5,171.39999389648438,175.97999572753906,274125
2025-06-20,178.75999450683594,182.0,170.0500030517578,172.0,725785
2025-06-23,197.58999633789062,200.16000366210938,177.3000030517578,179.0,4214620
2025-06-24,198.75,203.5,196.0,203.0,2432725
2025-06-25,196.82000732421875,203.97999572753906,196.25,203.97999572753906,552080
2025-06-26,199.9199981689453,201.8000030517578,195.0,195.11000061035156,1342315
2025-06-27,198.5399932861328,204.05999755859375,197.0399932861328,204.0500030517578,470060
2025-06-30,195.75999450683594,200.8300018310547,194.60000610351562,198.97999572753906,759050
2025-07-01,195.61000061035156,199.39999389648438,193.2100067138672,196.7100067138672,865690
2025-07-02,198.22000122070312,199.17999267578125,193.22000122070312,195.97999572753906,666730
2025-07-03,199.7100067138672,206.0,197.55999755859375,199.75999450683594,844935
