Price,Close,High,Low,Open,Volume
Ticker,AHLUCONT.NS,AHLUCONT.NS,AHLUCONT.NS,AHLUCONT.NS,AHLUCONT.NS
2025-05-26,933.2330932617188,944.8260876923983,926.4372336288943,944.8260876923983,25096
2025-05-27,934.1825561523438,943.2270501128498,930.1849843688623,942.2276571669795,22885
2025-05-28,930.5347290039062,938.180109287085,924.4384565545179,938.180109287085,18916
2025-05-29,966.2130737304688,969.5110582039648,933.6828460179831,934.4323907164188,72427
2025-05-30,972.4093017578125,984.2520833460638,959.9668478244974,970.1606677095544,43596
2025-06-02,936.7809448242188,995.3953649613981,929.4354311386548,995.3953649613981,148198
2025-06-03,937.6304321289062,974.3581212489246,933.732775414888,949.4232561637407,78035
2025-06-04,927.5865478515625,946.4250796846939,914.944203222109,942.2775747356204,48503
2025-06-05,931.4342041015625,940.2288496230725,920.4908393966714,926.8370210556673,36310
2025-06-06,910.4968872070312,936.5810784346322,907.4487510688102,934.5322741959625,60514
2025-06-09,938.6298217773438,946.2751408463592,909.4974944083515,909.4974944083515,41702
2025-06-10,952.8212280273438,962.8151571612655,941.8778634260789,943.2769769059663,80912
2025-06-11,938.4799194335938,958.0680574754153,931.4342114713337,952.8212445889084,28244
2025-06-12,923.9887084960938,948.074114375975,920.6907240721722,939.4293412513887,31332
2025-06-13,920.1410522460938,927.8863471959799,894.4566425997542,899.4536070835518,26447
2025-06-16,931.7340087890625,933.4329889557332,896.9551473102468,915.643807147418,34298
2025-06-17,917.3927612304688,938.3800129649289,914.4445398586261,927.4366480751967,25758
2025-06-18,915.0941772460938,932.0338389164071,909.3476677950268,921.9399945407316,37618
2025-06-19,894.5066528320312,925.337962115355,889.409773157019,915.0941843190594,33246
2025-06-20,907.7985229492188,912.345809475928,897.6047640932123,900.9527059334357,19542
2025-06-23,942.5274658203125,950.4226945168023,896.9052142964708,904.5505337576011,117401
2025-06-24,948.5737915039062,968.9114125353984,939.8291036651392,968.9114125353984,39362
2025-06-25,949.1234741210938,959.3172941669807,943.5268371360463,953.3209366103534,21304
2025-06-26,941.8279418945312,957.0686844049336,938.1801332223077,949.1234982408733,13994
2025-06-27,986.1509399414062,996.2948022331276,929.5853264377499,941.9278043017739,304275
2025-06-30,1015.3832397460938,1038.3692776537316,998.3935595534919,998.3935595534919,242013
2025-07-01,1013.8840942382812,1036.3704344259218,1004.3898617146108,1018.3813622758094,60491
2025-07-02,977.5062255859375,1013.3844570953605,974.3082169261326,1011.3856711839298,48524
2025-07-03,981.903564453125,987.8999220986402,968.4117597507156,978.3057742650575,21115
2025-07-04,987.7999877929688,991.3977779103376,976.0071025233754,981.903545158172,14662
2025-07-07,962.5153198242188,987.8000101021473,959.4172260975206,981.4038708622554,28550
2025-07-08,945.6256103515625,964.4141853906401,934.6322880310474,962.2155087269163,63613
2025-07-09,997.7939453125,1009.2869642332757,945.6256211420537,945.6256211420537,174058
2025-07-10,1000.392333984375,1013.9840535833225,992.6969961387205,997.793936736904,23233
2025-07-11,983.1028442382812,999.3929369102983,977.1064866168194,999.3929369102983,13157
2025-07-14,1037.0699462890625,1054.559321748282,979.4050257162883,983.4025972498241,349261
2025-07-15,1116.221923828125,1124.316981697104,1039.368587524434,1045.364944760152,577635
2025-07-16,1098.9324951171875,1122.9179266089975,1082.9422074559807,1112.3243854326906,185311
2025-07-17,1097.3333740234375,1107.3273027486055,1086.3400524257527,1107.3273027486055,55004
2025-07-18,1088.0390625,1104.3292164828006,1064.953109613493,1101.3310376145216,46289
2025-07-21,1079.644287109375,1101.8307625083362,1069.6503572907052,1099.332280053669,52575
2025-07-22,1098.032958984375,1114.3231124764598,1072.948220941321,1088.2389815074182,44348
2025-07-23,1063.4539794921875,1106.3279600674857,1056.7580957410291,1098.3328167246311,63201
2025-07-24,1040.56787109375,1071.9488335304638,1033.6721574659211,1071.9488335304638,57035
