Price,Close,High,Low,Open,Volume
Ticker,AJANTPHARM.NS,AJANTPHARM.NS,AJANTPHARM.NS,AJANTPHARM.NS,AJANTPHARM.NS
2025-05-26,2563.14892578125,2575.8069884533807,2539.909602495118,2551.381024605088,15318
2025-05-27,2561.96240234375,2571.15928962776,2548.513406303644,2563.14904296016,30696
2025-05-28,2560.6767578125,2582.1362418135673,2551.381124706327,2569.675911840849,48057
2025-05-29,2547.128662109375,2631.383521663752,2539.6131109642683,2575.114788939255,40940
2025-05-30,2482.94873046875,2547.128723697271,2474.3452844367057,2546.5355241209913,126935
2025-06-02,2525.66943359375,2532.5917852128405,2479.0917996980293,2482.9486833167152,109676
2025-06-03,2530.811767578125,2556.325626762285,2485.4210145308466,2518.74714559518,103242
2025-06-04,2557.7099609375,2590.83835829545,2523.592656195731,2530.8117283841057,64119
2025-06-05,2549.20556640625,2604.4853939790028,2531.6029662450824,2571.159262592662,300138
2025-06-06,2542.777587890625,2619.6156428309982,2534.9650747493924,2581.0482551109494,84218
2025-06-09,2566.016845703125,2580.454748185365,2533.6796235735833,2543.4697097871053,62107
2025-06-10,2547.72216796875,2572.1481323190424,2535.5585587335736,2559.292336194418,46819
2025-06-11,2617.440185546875,2630.493715094685,2550.293227433658,2560.5780093747153,117655
2025-06-12,2700.013916015625,2733.933488040576,2630.4936776762584,2630.4936776762584,505165
2025-06-13,2604.979736328125,2699.717110317328,2597.958638886045,2699.717110317328,135145
2025-06-16,2569.379150390625,2635.339225478684,2564.731333911596,2620.5056145248864,64674
2025-06-17,2519.24169921875,2588.662953105034,2504.40808764337,2575.1149694860155,100155
2025-06-18,2552.765380859375,2561.4678139763487,2488.5853893075596,2534.075128194167,278928
2025-06-19,2517.46142578125,2563.940071843702,2496.10117159926,2552.7653703549604,45126
2025-06-20,2559.489990234375,2566.1156212841356,2496.9910931400937,2516.76924041249,88154
2025-06-23,2536.448486328125,2543.3708381080414,2511.824788712553,2531.207470269307,72113
2025-06-24,2535.75634765625,2556.2266828796273,2526.658447716135,2551.3811331145316,103086
2025-06-25,2556.5234375,2598.848723753253,2529.921924229398,2541.492092863722,153312
2025-06-26,2539.90966796875,2574.917134765928,2529.625127588291,2569.675877262773,98052
2025-06-27,2492.73876953125,2553.8532935352564,2478.3008667293097,2553.8532935352564,318634
2025-06-30,2545.546630859375,2555.4357048436273,2514.989247388553,2521.713865984339,131475
2025-07-01,2474.9384765625,2576.103750841742,2466.335030556355,2561.2701399923653,222786
