Price,Close,High,Low,Open,Volume
Ticker,3PLAND.NS,3PLAND.NS,3PLAND.NS,3PLAND.NS,3PLAND.NS
2025-05-27,46.83000183105469,46.83000183105469,42.79999923706055,43.45000076293945,56695
2025-05-28,51.5099983215332,51.5099983215332,45.9900016784668,46.83000183105469,60541
2025-05-29,48.65999984741211,52.900001525878906,46.970001220703125,50.5,65566
2025-05-30,48.439998626708984,50.400001525878906,47.099998474121094,48.900001525878906,8647
2025-06-02,52.15999984741211,52.75,49.40999984741211,51.9900016784668,30863
2025-06-03,49.38999938964844,54.83000183105469,48.0,53.7599983215332,55954
2025-06-04,51.20000076293945,51.7400016784668,48.0,49.70000076293945,18509
2025-06-05,54.400001525878906,55.0,51.97999954223633,52.0,46142
2025-06-06,52.689998626708984,56.0,52.20000076293945,55.900001525878906,39060
2025-06-09,55.0,56.599998474121094,53.0099983215332,53.0099983215332,38320
2025-06-10,55.810001373291016,56.790000915527344,54.209999084472656,55.279998779296875,22808
2025-06-11,56.84000015258789,58.790000915527344,55.0099983215332,55.97999954223633,34139
2025-06-12,56.47999954223633,58.29999923706055,56.0,57.0,9568
2025-06-13,52.970001220703125,56.47999954223633,50.20000076293945,56.47999954223633,34126
2025-06-16,54.06999969482422,57.5,51.720001220703125,53.9900016784668,30822
2025-06-17,54.959999084472656,55.5,52.70000076293945,54.4900016784668,12869
2025-06-18,53.880001068115234,55.599998474121094,53.13999938964844,55.599998474121094,18717
2025-06-19,51.400001525878906,55.38999938964844,51.0,53.91999816894531,17064
2025-06-20,52.16999816894531,52.54999923706055,51.209999084472656,51.900001525878906,3655
2025-06-23,50.880001068115234,51.36000061035156,50.2599983215332,50.2599983215332,6266
2025-06-24,51.29999923706055,52.9900016784668,50.58000183105469,51.20000076293945,4975
2025-06-25,50.439998626708984,52.97999954223633,49.40999984741211,51.0,14618
2025-06-26,50.63999938964844,51.93000030517578,50.0,51.0,8814
2025-06-27,50.900001525878906,52.13999938964844,50.279998779296875,52.13999938964844,6308
2025-06-30,50.91999816894531,51.97999954223633,50.20000076293945,50.20000076293945,10160
2025-07-01,51.380001068115234,51.97999954223633,50.75,50.75,3554
2025-07-02,51.34000015258789,52.79999923706055,50.41999816894531,52.79999923706055,3784
2025-07-03,50.59000015258789,51.970001220703125,50.5,51.060001373291016,6079
2025-07-04,50.7400016784668,52.400001525878906,50.400001525878906,51.0,5493
2025-07-07,49.65999984741211,51.9900016784668,48.849998474121094,51.9900016784668,11575
2025-07-08,48.65999984741211,50.560001373291016,48.25,49.650001525878906,8118
2025-07-09,50.4900016784668,51.47999954223633,49.5,49.59000015258789,13033
2025-07-10,49.880001068115234,51.5,49.22999954223633,50.83000183105469,5262
2025-07-11,49.20000076293945,50.9900016784668,49.0,50.099998474121094,7678
2025-07-14,48.7400016784668,49.790000915527344,48.5099983215332,48.79999923706055,4019
2025-07-15,48.630001068115234,49.95000076293945,48.33000183105469,49.95000076293945,6147
2025-07-16,48.13999938964844,51.380001068115234,48.0,48.02000045776367,10719
2025-07-17,48.439998626708984,49.18000030517578,47.95000076293945,48.25,4762
2025-07-18,47.68000030517578,48.900001525878906,47.5,47.5,4254
2025-07-21,47.72999954223633,48.630001068115234,47.0,48.54999923706055,4492
2025-07-22,48.09000015258789,50.5,47.0099983215332,47.0099983215332,8316
2025-07-23,47.65999984741211,48.59000015258789,47.209999084472656,48.5,4671
2025-07-24,48.11000061035156,48.70000076293945,47.63999938964844,47.65999984741211,2674
2025-07-25,46.88999938964844,48.79999923706055,46.5,48.79999923706055,5665
2025-07-28,45.5,47.45000076293945,45.15999984741211,46.150001525878906,10812
2025-07-29,45.09000015258789,46.88999938964844,44.5099983215332,46.099998474121094,4247
2025-07-30,44.040000915527344,45.5099983215332,43.0,44.95000076293945,7128
2025-07-31,47.34000015258789,52.79999923706055,44.040000915527344,44.150001525878906,143666
2025-08-01,46.27000045776367,48.380001068115234,46.06999969482422,47.0,8685
2025-08-04,45.93000030517578,48.0,45.0,47.65999984741211,10627
2025-08-05,45.61000061035156,47.95000076293945,45.06999969482422,47.95000076293945,6523
2025-08-06,44.79999923706055,46.5,44.0,46.5,6417
2025-08-07,46.72999954223633,52.900001525878906,43.70000076293945,45.0,74049
2025-08-08,45.9900016784668,51.0,45.5,47.88999938964844,43871
2025-08-11,47.84000015258789,50.20000076293945,45.52000045776367,45.9900016784668,80162
2025-08-12,47.61000061035156,50.400001525878906,46.5,47.84000015258789,26095
2025-08-13,49.939998626708984,50.900001525878906,46.45000076293945,47.5,74886
2025-08-14,49.75,52.38999938964844,49.0,49.5,20128
2025-08-18,51.38999938964844,52.900001525878906,47.40999984741211,49.0,45519
2025-08-19,49.0099983215332,52.0,48.70000076293945,51.38999938964844,22667
2025-08-20,48.380001068115234,49.880001068115234,47.7599983215332,49.880001068115234,43095
2025-08-21,47.2400016784668,49.150001525878906,46.900001525878906,48.63999938964844,12266
2025-08-22,47.97999954223633,48.9900016784668,46.150001525878906,47.5,10138
2025-08-25,48.0,50.18000030517578,46.5,49.0,11750
2025-08-26,46.91999816894531,48.470001220703125,46.400001525878906,47.61000061035156,4467
2025-08-28,45.150001525878906,47.70000076293945,44.0,47.68000030517578,23429
2025-08-29,44.63999938964844,46.63999938964844,44.16999816894531,44.56999969482422,4094
2025-09-01,45.31999969482422,45.88999938964844,44.36000061035156,45.529998779296875,7840
2025-09-02,45.06999969482422,46.220001220703125,44.5099983215332,46.220001220703125,9833
2025-09-03,45.810001373291016,46.2400016784668,45.220001220703125,46.2400016784668,3768
2025-09-04,45.869998931884766,46.790000915527344,44.5,46.790000915527344,4809
2025-09-05,45.029998779296875,46.09000015258789,44.81999969482422,46.09000015258789,4421
2025-09-08,44.349998474121094,46.189998626708984,43.70000076293945,44.599998474121094,9905
2025-09-09,44.97999954223633,46.79999923706055,44.0,45.25,5194
2025-09-10,46.029998779296875,46.650001525878906,45.0,45.0,2682
2025-09-11,45.75,47.5,45.0,46.0,8490
2025-09-12,44.65999984741211,47.310001373291016,44.0,47.310001373291016,4793
2025-09-15,44.7599983215332,45.59000015258789,44.529998779296875,45.59000015258789,4124
2025-09-16,45.540000915527344,45.599998474121094,44.25,44.25,1903
2025-09-17,45.599998474121094,46.88999938964844,45.0099983215332,46.5,5913
2025-09-18,45.439998626708984,46.88999938964844,45.209999084472656,46.29999923706055,7033
2025-09-19,45.70000076293945,46.689998626708984,45.04999923706055,45.439998626708984,4973
