Price,Close,High,Low,Open,Volume
Ticker,ABCOTS.NS,ABCOTS.NS,ABCOTS.NS,ABCOTS.NS,ABCOTS.NS
2025-05-27,425.95001220703125,425.95001220703125,423.0,423.0,500
2025-05-28,426.0,448.8999938964844,425.1000061035156,448.8999938964844,1250
2025-05-29,437.95001220703125,442.79998779296875,418.04998779296875,439.0,8250
2025-05-30,437.04998779296875,459.5,425.20001220703125,459.5,10750
2025-06-02,439.79998779296875,449.3999938964844,425.0,449.1000061035156,14750
2025-06-03,439.79998779296875,439.79998779296875,439.79998779296875,439.79998779296875,0
2025-06-04,447.75,451.5,447.75,451.5,6250
2025-06-05,450.6499938964844,454.25,428.25,454.25,6000
2025-06-06,446.79998779296875,446.79998779296875,428.0,428.0,18750
2025-06-09,444.6000061035156,453.95001220703125,435.0,453.95001220703125,5250
2025-06-10,451.79998779296875,451.79998779296875,438.0,438.0,11250
2025-06-11,461.3500061035156,461.95001220703125,438.0,450.5,63000
2025-06-12,449.8999938964844,455.0,435.0,455.0,7500
2025-06-13,439.95001220703125,467.8999938964844,434.0,467.8999938964844,8250
2025-06-16,439.95001220703125,439.95001220703125,439.95001220703125,439.95001220703125,0
2025-06-17,444.1000061035156,449.75,434.0,449.75,4500
2025-06-18,449.54998779296875,471.95001220703125,440.0,471.95001220703125,13250
2025-06-19,448.75,448.75,434.95001220703125,440.0,7750
2025-06-20,446.54998779296875,446.75,430.25,430.29998779296875,6000
2025-06-23,428.54998779296875,446.54998779296875,420.0,446.54998779296875,11000
2025-06-24,429.54998779296875,429.75,423.04998779296875,428.54998779296875,13500
2025-06-25,434.0,454.70001220703125,420.0,454.70001220703125,4500
2025-06-26,423.70001220703125,447.0,420.95001220703125,447.0,4750
2025-06-27,422.95001220703125,422.95001220703125,410.04998779296875,414.5,1750
2025-06-30,423.1499938964844,426.0,422.0,422.95001220703125,7250
2025-07-01,425.8500061035156,432.5,415.1499938964844,415.1499938964844,14000
2025-07-02,424.45001220703125,424.79998779296875,415.25,415.25,16250
2025-07-03,429.8500061035156,432.0,429.8500061035156,430.5,3500
2025-07-04,438.6499938964844,438.79998779296875,429.5,429.5,6500
2025-07-07,434.20001220703125,434.54998779296875,422.5,424.0,2250
2025-07-08,425.0,425.0,425.0,425.0,500
2025-07-09,426.1000061035156,426.1000061035156,425.0,425.0,8000
2025-07-10,427.8500061035156,428.5,418.0,418.20001220703125,26500
2025-07-11,431.95001220703125,436.5,429.95001220703125,429.95001220703125,13500
2025-07-14,430.1499938964844,434.0,423.0,432.0,13000
2025-07-15,433.3999938964844,434.8999938964844,433.3999938964844,434.8999938964844,6500
2025-07-16,434.0,434.0,434.0,434.0,250
2025-07-17,441.6000061035156,459.0,440.0,449.5,7250
2025-07-18,434.8999938964844,454.5,431.0,454.5,5250
2025-07-21,421.5,455.0,421.3999938964844,455.0,7500
2025-07-22,419.0,437.5,419.0,437.5,1500
2025-07-23,411.70001220703125,417.0,399.75,416.20001220703125,9500
2025-07-24,412.45001220703125,419.25,403.20001220703125,411.70001220703125,19250
2025-07-25,409.8999938964844,427.0,402.04998779296875,427.0,2000
2025-07-28,418.95001220703125,419.8999938964844,403.54998779296875,403.54998779296875,8000
2025-07-29,416.8500061035156,418.0,410.0,418.0,4250
2025-07-30,412.0,434.0,412.0,434.0,4750
2025-07-31,414.25,415.0,403.45001220703125,415.0,51500
2025-08-01,410.1499938964844,437.5,395.04998779296875,437.0,12250
2025-08-04,422.8999938964844,427.8500061035156,417.5,417.5,750
2025-08-05,414.3500061035156,448.0,407.5,448.0,2500
2025-08-06,412.79998779296875,412.79998779296875,401.0,402.6499938964844,1000
2025-08-07,416.75,425.0,390.1000061035156,417.5,4750
2025-08-08,417.8500061035156,417.8999938964844,417.8500061035156,417.8999938964844,500
2025-08-11,418.0,420.8500061035156,405.0,416.8500061035156,7250
2025-08-12,415.79998779296875,417.79998779296875,405.20001220703125,417.5,5250
2025-08-13,410.95001220703125,415.0,406.3999938964844,415.0,5250
2025-08-14,418.0,430.0,414.0,430.0,3000
2025-08-18,416.8500061035156,416.8500061035156,416.8500061035156,416.8500061035156,250
2025-08-19,409.75,409.79998779296875,402.1499938964844,403.0,1250
2025-08-20,414.6499938964844,425.0,411.0,425.0,12500
2025-08-21,411.3999938964844,412.95001220703125,400.1000061035156,404.0,6500
2025-08-22,412.79998779296875,412.8999938964844,407.29998779296875,407.29998779296875,3000
2025-08-25,412.3999938964844,430.0,405.0,430.0,8000
2025-08-26,411.79998779296875,415.0,401.1000061035156,405.0,4000
2025-08-28,419.3999938964844,419.3999938964844,405.0,405.0,500
2025-08-29,415.3500061035156,420.0,401.70001220703125,417.75,17250
2025-09-01,392.20001220703125,402.1499938964844,370.1000061035156,402.1499938964844,17750
2025-09-02,408.29998779296875,410.0,390.0,410.0,15000
2025-09-03,407.45001220703125,408.0,398.04998779296875,405.0,5000
2025-09-04,408.95001220703125,408.95001220703125,400.0,400.0,1500
2025-09-05,411.95001220703125,418.5,404.0,415.5,3500
2025-09-08,414.95001220703125,422.5,400.0,422.5,5000
2025-09-09,414.1000061035156,416.95001220703125,405.1000061035156,413.95001220703125,6750
2025-09-10,416.5,417.3999938964844,406.70001220703125,413.04998779296875,25500
2025-09-11,424.0,425.0,407.20001220703125,425.0,13500
2025-09-12,423.45001220703125,425.0,418.95001220703125,418.95001220703125,13000
2025-09-15,433.25,458.70001220703125,421.04998779296875,422.5,5000
2025-09-16,433.8500061035156,446.8999938964844,425.0,446.8999938964844,10750
2025-09-17,435.04998779296875,437.8999938964844,422.04998779296875,437.5,4000
2025-09-18,433.5,456.0,411.25,456.0,3750
2025-09-19,434.25,438.8500061035156,423.0,434.25,7750
2025-09-22,425.0,438.0,404.0,438.0,9500
2025-09-23,456.5,464.95001220703125,425.0,425.0,65750
2025-09-24,452.1000061035156,504.0,440.0,474.95001220703125,137783
2025-09-25,443.70001220703125,473.0,440.0,458.0,25423
2025-09-26,435.6499938964844,454.45001220703125,430.0,450.0,24506
2025-09-29,444.1499938964844,451.8500061035156,435.95001220703125,451.8500061035156,32011
2025-09-30,431.79998779296875,450.0,430.25,448.95001220703125,37276
2025-10-01,439.0,450.0,427.0,447.79998779296875,68983
2025-10-03,446.04998779296875,454.95001220703125,431.0,445.6000061035156,25714
2025-10-06,437.20001220703125,455.0,435.04998779296875,455.0,16488
2025-10-07,438.75,474.8999938964844,435.0,474.8999938964844,23130
2025-10-08,429.0,449.5,426.29998779296875,445.3500061035156,20275
2025-10-09,438.25,444.5,429.8500061035156,442.04998779296875,17580
2025-10-10,438.79998779296875,447.0,430.5,443.20001220703125,17367
2025-10-13,434.1000061035156,445.6000061035156,431.0,439.29998779296875,19864
2025-10-14,391.79998779296875,459.79998779296875,387.3999938964844,454.04998779296875,38070
2025-10-15,429.45001220703125,440.75,388.79998779296875,389.95001220703125,45586
2025-10-16,428.3999938964844,451.8999938964844,411.29998779296875,434.79998779296875,26862
2025-10-17,384.25,440.8999938964844,380.04998779296875,427.95001220703125,43326
2025-10-20,404.25,408.95001220703125,384.25,387.0,19756
2025-10-21,410.04998779296875,467.95001220703125,400.0,414.79998779296875,100967
2025-10-23,411.95001220703125,437.0,408.5,414.0,68982
2025-10-24,423.0,424.6000061035156,411.0,418.0,16121
2025-10-27,420.8500061035156,444.0,416.29998779296875,428.0,21936
2025-10-28,422.29998779296875,432.0,414.70001220703125,425.04998779296875,20201
2025-10-29,411.1000061035156,436.8500061035156,406.29998779296875,415.95001220703125,44360
2025-10-30,415.45001220703125,421.29998779296875,408.1499938964844,414.79998779296875,95733
2025-10-31,416.0,419.0,405.6000061035156,419.0,22750
2025-11-03,422.8500061035156,427.95001220703125,409.95001220703125,418.6000061035156,31571
2025-11-04,422.5,446.0,413.04998779296875,420.25,26326
2025-11-06,420.3999938964844,431.95001220703125,416.6000061035156,421.70001220703125,5224
2025-11-07,419.6499938964844,429.0,416.3999938964844,416.8500061035156,7359
2025-11-10,410.1499938964844,431.8999938964844,398.0,420.0,26506
2025-11-11,418.8500061035156,429.0,410.1499938964844,410.1499938964844,12841
2025-11-12,405.79998779296875,443.95001220703125,397.0,437.0,51555
2025-11-13,410.29998779296875,430.0,404.1000061035156,423.95001220703125,35318
2025-11-14,414.79998779296875,420.0,410.8999938964844,417.95001220703125,15865
2025-11-17,412.8999938964844,424.75,407.04998779296875,418.04998779296875,23854
2025-11-18,412.6499938964844,418.0,410.0,415.0,11388
2025-11-19,416.3999938964844,417.75,410.8999938964844,417.0,6747
2025-11-20,418.6000061035156,424.8999938964844,413.6499938964844,417.75,9866
2025-11-21,410.8999938964844,431.0,405.3500061035156,420.95001220703125,51918
2025-11-24,415.95001220703125,419.95001220703125,410.0,413.1499938964844,15474
2025-11-25,408.79998779296875,420.6000061035156,407.0,418.8999938964844,9106
2025-11-26,412.1499938964844,415.5,408.45001220703125,412.0,6575
2025-11-27,421.54998779296875,423.95001220703125,412.1000061035156,414.8500061035156,14283
2025-11-28,415.1499938964844,429.54998779296875,409.79998779296875,425.0,23602
2025-12-01,418.70001220703125,424.8500061035156,410.1000061035156,419.79998779296875,23654
2025-12-02,415.8999938964844,456.0,411.0,418.70001220703125,78004
2025-12-03,419.0,421.0,411.5,421.0,7513
2025-12-04,418.25,418.8999938964844,412.3500061035156,418.3999938964844,36081
2025-12-05,409.8999938964844,422.0,407.3999938964844,411.04998779296875,27273
2025-12-08,414.04998779296875,419.75,405.04998779296875,409.75,17924
2025-12-09,415.8500061035156,417.95001220703125,410.75,412.54998779296875,7252
2025-12-10,414.04998779296875,418.3999938964844,410.3999938964844,415.79998779296875,7867
2025-12-11,414.8500061035156,417.8500061035156,411.75,417.8500061035156,1815
2025-12-12,414.29998779296875,419.6499938964844,409.0,419.6499938964844,9187
2025-12-15,411.8999938964844,418.95001220703125,410.29998779296875,416.5,6415
2025-12-16,413.95001220703125,416.95001220703125,409.54998779296875,414.54998779296875,2870
2025-12-17,414.75,416.95001220703125,410.04998779296875,413.1499938964844,3131
2025-12-18,412.95001220703125,418.0,411.04998779296875,415.8500061035156,5007
2025-12-19,412.3500061035156,417.25,407.6000061035156,417.25,9752
2025-12-22,409.8500061035156,414.29998779296875,405.1000061035156,413.04998779296875,9750
2025-12-23,413.0,413.95001220703125,409.54998779296875,410.04998779296875,1510
2025-12-24,414.1499938964844,416.0,413.1000061035156,413.1000061035156,6944
2025-12-26,410.5,416.95001220703125,408.79998779296875,415.04998779296875,10057
2025-12-29,411.5,418.04998779296875,405.95001220703125,418.04998779296875,15618
2025-12-30,412.1000061035156,414.3500061035156,407.04998779296875,412.1000061035156,8036
2025-12-31,411.95001220703125,416.6499938964844,410.29998779296875,416.6499938964844,9719
2026-01-01,411.70001220703125,414.0,409.1000061035156,411.70001220703125,9022
2026-01-02,412.20001220703125,413.3999938964844,407.0,412.8999938964844,13172
2026-01-05,410.0,412.1000061035156,408.3999938964844,411.3999938964844,9875
2026-01-06,409.3500061035156,415.0,407.54998779296875,413.8500061035156,12321
2026-01-07,410.29998779296875,412.8999938964844,407.1000061035156,412.8999938964844,8642
2026-01-08,411.3999938964844,413.0,407.1000061035156,413.0,50483
2026-01-09,409.3500061035156,412.1000061035156,405.8500061035156,411.20001220703125,9840
2026-01-12,409.1000061035156,417.0,404.0,414.1000061035156,14591
2026-01-13,409.1499938964844,414.0,406.20001220703125,413.5,28995
2026-01-14,412.20001220703125,412.5,405.1000061035156,406.95001220703125,3246
2026-01-16,414.70001220703125,414.95001220703125,408.6499938964844,412.95001220703125,9254
2026-01-19,413.79998779296875,414.79998779296875,410.1000061035156,414.54998779296875,3542
2026-01-20,409.1499938964844,414.95001220703125,404.20001220703125,414.95001220703125,6976
2026-01-21,405.6000061035156,418.0,401.25,418.0,5242
2026-01-22,407.79998779296875,416.8999938964844,404.5,416.8999938964844,7825
2026-01-23,408.6000061035156,414.0,395.6000061035156,414.0,19539
2026-01-27,409.3999938964844,420.0,405.0,420.0,6952
2026-01-28,411.54998779296875,411.95001220703125,405.04998779296875,407.25,2274
2026-01-29,415.75,422.04998779296875,410.79998779296875,415.0,4047
2026-01-30,421.95001220703125,432.79998779296875,415.04998779296875,432.79998779296875,2778
2026-02-02,412.54998779296875,430.0,408.1000061035156,430.0,6457
2026-02-03,420.70001220703125,448.95001220703125,414.0,418.04998779296875,36135
2026-02-04,415.20001220703125,422.6000061035156,412.75,417.0,4076
2026-02-05,424.25,427.6000061035156,411.1000061035156,427.0,19776
2026-02-06,427.75,435.0,416.0,424.0,24968
2026-02-09,438.25,440.0,420.0,430.79998779296875,15024
2026-02-10,437.20001220703125,451.0,426.04998779296875,439.8999938964844,38182
2026-02-11,437.8999938964844,455.0,428.0,443.3500061035156,39625
2026-02-12,431.54998779296875,441.70001220703125,426.95001220703125,426.95001220703125,10063
2026-02-13,429.20001220703125,435.0,425.04998779296875,435.0,7668
2026-02-16,430.95001220703125,434.8999938964844,426.0,426.5,2521
2026-02-17,419.3500061035156,446.79998779296875,413.0,430.79998779296875,60849
2026-02-18,419.6000061035156,425.0,415.0,419.3500061035156,7760
2026-02-19,410.29998779296875,422.79998779296875,409.95001220703125,422.04998779296875,2228
2026-02-20,419.1499938964844,421.70001220703125,409.8999938964844,409.8999938964844,3978
2026-02-23,425.0,437.0,421.04998779296875,437.0,19107
2026-02-24,413.75,432.20001220703125,410.6000061035156,432.20001220703125,8052
2026-02-25,416.1000061035156,423.70001220703125,413.5,423.6499938964844,19317
2026-02-26,410.25,428.5,405.29998779296875,416.1000061035156,20649
2026-02-27,409.04998779296875,415.8999938964844,402.1000061035156,413.95001220703125,47095
2026-03-02,410.1499938964844,411.0,395.79998779296875,409.8999938964844,4774
2026-03-04,388.3500061035156,431.95001220703125,378.0,431.95001220703125,15101
2026-03-05,408.25,415.1499938964844,396.04998779296875,403.6000061035156,35264
2026-03-06,410.3999938964844,414.0,404.0,405.0,27757
2026-03-09,414.04998779296875,435.0,398.0,435.0,9957
2026-03-10,395.45001220703125,419.95001220703125,392.0,419.0,14189
2026-03-11,401.95001220703125,409.6499938964844,393.04998779296875,396.0,24244
2026-03-12,405.20001220703125,410.20001220703125,395.8999938964844,395.8999938964844,13294
2026-03-13,405.95001220703125,412.3999938964844,395.3999938964844,408.95001220703125,42720
2026-03-16,399.54998779296875,409.79998779296875,335.0,409.79998779296875,44129
2026-03-17,405.6499938964844,410.0,390.0,395.1000061035156,34808
2026-03-18,402.3999938964844,411.8999938964844,395.5,409.79998779296875,15875
2026-03-19,404.0,412.0,398.0,412.0,6646
2026-03-20,403.3500061035156,407.95001220703125,397.0,397.0,41839
2026-03-23,405.3999938964844,410.0,393.20001220703125,393.6000061035156,28147
2026-03-24,406.04998779296875,409.70001220703125,402.3999938964844,408.79998779296875,14959
2026-03-25,405.3999938964844,410.95001220703125,400.5,409.79998779296875,48819
2026-03-27,400.70001220703125,409.79998779296875,386.0,409.79998779296875,24813
