Price,Close,High,Low,Open,Volume
Ticker,ADVAIT.NS,ADVAIT.NS,ADVAIT.NS,ADVAIT.NS,ADVAIT.NS
2026-01-20,1391.800048828125,1538.9000244140625,1366.800048828125,1472.4000244140625,48593
2026-01-21,1397.0,1434.0999755859375,1376.199951171875,1428.199951171875,25919
2026-01-22,1432.699951171875,1481.800048828125,1408.4000244140625,1421.0,39591
2026-01-23,1385.300048828125,1445.9000244140625,1377.0,1443.4000244140625,27712
2026-01-27,1375.5999755859375,1425.0,1351.0,1385.300048828125,31910
2026-01-28,1403.199951171875,1409.800048828125,1378.0,1398.800048828125,30363
2026-01-29,1544.0,1590.800048828125,1390.0,1419.699951171875,94320
2026-01-30,1504.300048828125,1557.800048828125,1487.800048828125,1549.699951171875,30861
2026-02-02,1431.0999755859375,1464.5999755859375,1413.0,1437.0,18068
2026-02-03,1471.0,1517.5999755859375,1448.0,1517.5999755859375,18925
2026-02-04,1552.800048828125,1618.699951171875,1484.800048828125,1500.4000244140625,33060
2026-02-05,1518.300048828125,1551.9000244140625,1501.0,1551.199951171875,10157
2026-02-06,1642.0999755859375,1685.0,1501.5,1518.199951171875,110577
2026-02-09,1707.9000244140625,1773.0999755859375,1649.0,1650.0,65324
2026-02-10,1633.0999755859375,1746.199951171875,1615.0,1707.300048828125,32802
2026-02-11,1790.199951171875,1830.5,1621.0,1670.0,133115
2026-02-12,1785.300048828125,1885.0,1740.0,1820.0,132687
2026-02-13,1733.199951171875,1768.0,1716.0999755859375,1741.0,28695
2026-02-16,1657.5999755859375,1733.199951171875,1650.0999755859375,1733.0999755859375,23424
2026-02-17,1746.0,1790.0,1657.699951171875,1660.0,49607
2026-02-18,1702.0,1776.9000244140625,1692.0,1760.0,22670
2026-02-19,1666.0,1748.0,1658.0,1715.0,14124
2026-02-20,1736.9000244140625,1818.0,1666.0,1666.0,109025
2026-02-23,1700.4000244140625,1770.0,1692.4000244140625,1751.0999755859375,18452
2026-02-24,1717.5999755859375,1735.0,1663.5999755859375,1700.0999755859375,21516
2026-02-25,1678.5,1753.699951171875,1670.0,1715.0,18517
2026-02-26,1731.300048828125,1750.0,1680.5,1680.5,28160
2026-02-27,1705.199951171875,1758.0,1695.0,1743.300048828125,10162
2026-03-02,1616.800048828125,1680.800048828125,1592.800048828125,1598.0,55702
2026-03-04,1527.199951171875,1600.0,1510.0999755859375,1600.0,29455
2026-03-05,1567.9000244140625,1596.699951171875,1537.0,1550.0,32839
2026-03-06,1583.0,1614.5999755859375,1542.199951171875,1567.0,21140
2026-03-09,1550.699951171875,1575.0,1501.0,1545.0999755859375,28762
2026-03-10,1627.199951171875,1648.0,1566.5,1581.699951171875,27513
2026-03-11,1614.0,1670.0,1604.0,1652.9000244140625,20566
2026-03-12,1580.5999755859375,1624.9000244140625,1575.0,1615.9000244140625,18689
2026-03-13,1508.199951171875,1598.0,1504.0,1595.9000244140625,26791
2026-03-16,1506.4000244140625,1542.9000244140625,1480.0,1514.5,22485
2026-03-17,1544.199951171875,1578.0,1515.800048828125,1520.5999755859375,24481
2026-03-18,1627.4000244140625,1649.800048828125,1544.199951171875,1544.199951171875,22655
2026-03-19,1574.800048828125,1658.0,1565.5,1600.0,28183
2026-03-20,1644.5999755859375,1707.800048828125,1594.5,1598.4000244140625,35405
2026-03-23,1555.5999755859375,1738.0,1533.0999755859375,1625.0,112447
2026-03-24,1746.4000244140625,1794.0,1586.4000244140625,1615.699951171875,210691
2026-03-25,1762.4000244140625,1840.0,1721.0,1745.0999755859375,98120
2026-03-27,1761.699951171875,1835.4000244140625,1715.5,1750.0999755859375,83561
2026-03-30,1690.0999755859375,1780.9000244140625,1677.4000244140625,1733.0,50351
2026-04-01,1737.5,1852.699951171875,1720.0,1769.9000244140625,115596
2026-04-02,1780.5,1790.0,1690.0999755859375,1696.9000244140625,50621
2026-04-06,1794.0999755859375,1829.0,1764.0999755859375,1780.5,50867
2026-04-07,1773.9000244140625,1850.0,1763.199951171875,1800.0,55033
2026-04-08,1827.9000244140625,1849.0,1805.0,1845.0,45436
2026-04-09,1809.0999755859375,1910.0,1792.0999755859375,1829.9000244140625,78639
2026-04-10,1867.0,1888.0,1836.0,1847.0999755859375,48680
2026-04-13,1887.0999755859375,1986.9000244140625,1789.0,1830.0999755859375,136375
2026-04-15,1874.0,1964.5999755859375,1860.0999755859375,1942.0999755859375,78016
2026-04-16,1904.5999755859375,1936.4000244140625,1865.199951171875,1914.0,39598
2026-04-17,1910.199951171875,1975.0,1905.699951171875,1918.0,70785
2026-04-20,1862.0999755859375,1922.800048828125,1850.0,1910.199951171875,54093
2026-04-21,1958.4000244140625,1992.0,1865.0,1865.0,95334
2026-04-22,1994.199951171875,2095.0,1963.0,1992.0,116986
2026-04-23,2072.800048828125,2143.199951171875,1998.0999755859375,1998.0999755859375,105405
2026-04-24,2009.699951171875,2109.699951171875,1985.199951171875,2108.0,49739
2026-04-27,2108.89990234375,2120.0,2017.0,2017.0,64382
2026-04-28,2077.39990234375,2163.0,2065.0,2112.0,51516
2026-04-29,2101.89990234375,2119.0,2061.5,2094.0,40164
2026-04-30,2020.5,2125.699951171875,2009.5999755859375,2101.89990234375,72504
2026-05-04,2039.0999755859375,2080.0,2026.0,2050.699951171875,30388
2026-05-05,2030.4000244140625,2059.89990234375,2007.0,2058.39990234375,23423
2026-05-06,1975.300048828125,2060.5,1941.5999755859375,2048.60009765625,68177
2026-05-07,2040.9000244140625,2050.0,1983.9000244140625,1998.300048828125,38107
2026-05-08,2096.60009765625,2121.0,2002.0,2040.9000244140625,68139
2026-05-11,2027.0999755859375,2116.699951171875,2013.199951171875,2116.699951171875,46014
2026-05-12,1908.5999755859375,2031.9000244140625,1890.0,2014.0,49062
2026-05-13,2009.300048828125,2069.800048828125,1905.0,1908.5999755859375,69523
2026-05-14,1976.4000244140625,2044.0,1962.699951171875,2029.300048828125,27953
2026-05-15,1904.0,1990.0,1895.0,1990.0,30174
2026-05-18,1878.0999755859375,1909.5,1812.0,1904.0,39064
