Price,Close,High,Low,Open,Volume
Ticker,AFSL.NS,AFSL.NS,AFSL.NS,AFSL.NS,AFSL.NS
2025-05-27,219.25,221.91000366210938,214.75,217.0500030517578,57647
2025-05-28,215.75999450683594,220.1300048828125,214.10000610351562,219.0500030517578,121406
2025-05-29,214.6300048828125,219.0,205.89999389648438,218.9499969482422,128144
2025-05-30,209.25,218.89999389648438,205.60000610351562,216.39999389648438,81212
2025-06-02,218.49000549316406,219.0,211.35000610351562,211.35000610351562,22194
2025-06-03,216.9600067138672,221.99000549316406,214.1999969482422,220.1300048828125,18801
2025-06-04,218.8699951171875,222.0,209.00999450683594,218.58999633789062,114539
2025-06-05,218.2100067138672,226.97999572753906,217.0,222.0,95872
2025-06-06,219.08999633789062,223.1999969482422,217.3699951171875,219.85000610351562,59109
2025-06-09,224.4199981689453,227.97000122070312,219.02999877929688,220.4600067138672,89695
2025-06-10,228.58999633789062,233.0,224.89999389648438,227.8000030517578,92662
2025-06-11,255.3300018310547,269.5,230.3300018310547,230.33999633789062,455713
2025-06-12,252.47999572753906,260.0,246.9199981689453,254.63999938964844,247552
2025-06-13,239.9600067138672,250.5,235.10000610351562,246.8000030517578,136403
2025-06-16,241.4600067138672,245.8699951171875,230.35000610351562,239.64999389648438,103269
2025-06-17,236.8800048828125,244.9499969482422,234.07000732421875,244.9499969482422,80297
2025-06-18,234.2100067138672,239.5800018310547,230.7100067138672,238.10000610351562,87823
2025-06-19,229.83999633789062,237.99000549316406,225.61000061035156,231.85000610351562,71234
2025-06-20,233.63999938964844,235.0,225.30999755859375,227.25,47850
2025-06-23,244.3300018310547,247.0,228.8699951171875,233.61000061035156,91417
2025-06-24,245.27999877929688,249.05999755859375,236.0,245.0,40138
2025-06-25,259.25,267.5899963378906,243.3300018310547,245.9600067138672,99717
2025-06-26,248.5800018310547,263.1499938964844,246.47999572753906,263.1499938964844,66929
2025-06-27,247.3000030517578,252.35000610351562,245.6999969482422,252.3000030517578,49334
2025-06-30,248.17999267578125,251.55999755859375,244.00999450683594,244.00999450683594,52651
2025-07-01,243.6999969482422,250.64999389648438,239.52999877929688,250.64999389648438,28955
2025-07-02,245.85000610351562,247.5500030517578,241.08999633789062,242.49000549316406,49364
2025-07-03,244.02999877929688,247.1999969482422,241.00999450683594,246.85000610351562,37380
2025-07-04,251.38999938964844,256.8999938964844,244.05999755859375,244.4499969482422,85030
2025-07-07,255.66000366210938,260.69000244140625,248.11000061035156,252.75,58220
2025-07-08,252.22999572753906,255.66000366210938,248.2899932861328,255.66000366210938,42567
2025-07-09,249.24000549316406,253.14999389648438,244.80999755859375,252.9499969482422,39018
2025-07-10,250.1300048828125,255.0,246.30999755859375,250.47999572753906,47463
2025-07-11,253.99000549316406,255.60000610351562,247.14999389648438,254.89999389648438,36005
2025-07-14,253.05999755859375,259.9800109863281,249.47000122070312,255.60000610351562,35045
2025-07-15,253.9199981689453,259.0199890136719,250.25,255.0,36324
2025-07-16,223.89999389648438,259.79998779296875,220.0,255.0,812091
2025-07-17,219.69000244140625,229.8000030517578,216.25,221.5,439824
2025-07-18,216.77999877929688,219.9499969482422,215.10000610351562,219.6999969482422,47079
2025-07-21,217.72999572753906,220.0,215.0,216.77999877929688,39028
2025-07-22,220.6699981689453,222.0,217.72999572753906,219.89999389648438,39311
2025-07-23,223.72999572753906,226.13999938964844,215.19000244140625,220.0,53685
2025-07-24,222.44000244140625,225.0,218.9600067138672,225.0,27570
2025-07-25,220.94000244140625,223.35000610351562,220.10000610351562,221.0,17339
2025-07-28,220.1999969482422,222.27999877929688,219.1999969482422,219.1999969482422,53400
2025-07-29,225.02000427246094,230.39999389648438,219.10000610351562,219.10000610351562,67547
2025-07-30,223.27000427246094,226.5,220.8000030517578,225.02000427246094,23824
2025-07-31,220.38999938964844,223.75999450683594,220.0,221.39999389648438,13379
2025-08-01,220.50999450683594,225.5,200.60000610351562,202.1999969482422,80747
2025-08-04,220.6999969482422,224.97999572753906,220.0,220.0,27299
2025-08-05,220.30999755859375,223.0,220.0,223.0,21037
2025-08-06,220.39999389648438,223.99000549316406,220.0,222.89999389648438,41755
