Price,Close,High,Low,Open,Volume
Ticker,ADSL.NS,ADSL.NS,ADSL.NS,ADSL.NS,ADSL.NS
2025-05-27,194.71022033691406,198.05866245139285,193.5417162551617,197.165087285948,117971
2025-05-28,209.19395446777344,212.10052379390635,194.710238143884,194.710238143884,1318429
2025-05-29,216.26397705078125,218.96433085597633,211.86484442741875,211.97285917895934,925222
2025-05-30,214.30007934570312,222.46005502085504,206.3561181862519,217.20663354163267,684070
2025-06-02,196.9981689453125,205.81606229827605,187.79733190993008,191.479632535615,1420842
2025-06-03,190.5271453857422,200.4153573198116,189.02476790959383,196.99817150675437,707881
2025-06-04,193.8264923095703,195.89840080716434,192.07862807747526,192.08844215219213,361007
2025-06-05,194.4156494140625,197.70516215480114,192.85434263812505,194.42546348792064,246871
2025-06-06,188.37667846679688,192.69725355914636,186.8841300557908,192.51068126194068,770488
2025-06-09,188.9462127685547,192.69725696108998,188.53379688586526,189.3095283116411,352205
2025-06-10,189.54519653320312,191.45998986652492,188.1410197498737,191.45998986652492,232168
2025-06-11,190.0067138671875,194.21925922538077,188.68107963757691,191.20469021271597,269979
2025-06-12,186.72702026367188,191.06722362801636,186.5699051685857,190.44859230568966,231711
2025-06-13,184.74346923828125,186.52079053822928,181.905643602732,182.74030437102488,267757
2025-06-16,181.96456909179688,186.2851442387807,178.8910706445471,182.69121515764976,272424
2025-06-17,180.63894653320312,185.19517925265765,178.81252481901163,181.96456577173782,156241
2025-06-18,177.2217559814453,181.43431618481665,176.75042570821944,180.63894166646074,193147
2025-06-19,172.4789581298828,178.58666873274066,171.85051274550452,177.2217632112009,188482
2025-06-20,175.5917510986328,177.63418745657103,172.52806659508437,173.66712859020723,193634
2025-06-23,174.20718383789062,175.76847564003742,172.82263526618206,172.82263526618206,160315
2025-06-24,177.89930725097656,181.25756364664986,176.26927190015675,176.7504312458767,185814
2025-06-25,181.6208953857422,182.05293941236684,177.79129369304152,179.68645889878525,155007
2025-06-26,181.92529296875,184.07575891880845,181.34593295306684,182.64210995766297,101710
2025-06-27,180.010498046875,183.6338692229122,179.58825312338877,181.92529134721644,145294
2025-06-30,178.9303436279297,181.8663698970397,178.22334074696218,180.0104910803297,164083
2025-07-01,178.6848602294922,180.66839695898798,178.36081598779344,178.93034692926526,112440
2025-07-02,177.52615356445312,179.48023307047106,176.26926287196812,178.6848585679334,105662
2025-07-03,178.54739379882812,180.6585734888407,176.50494259555163,176.50494259555163,112243
2025-07-04,178.05641174316406,180.43272115714012,176.99590742081364,178.71431428897688,130148
2025-07-07,177.2414093017578,179.20530303363324,175.5721026263277,177.69311145275,96954
2025-07-08,174.8159942626953,178.50810897730395,173.85369055737812,176.11217128004964,120462
2025-07-09,178.30189514160156,180.0890304601193,174.1973498782181,174.6883232600432,184857
2025-07-10,177.78146362304688,179.89264316049398,177.2413899092083,177.53597693342192,120412
2025-07-11,174.98291015625,177.4672342677802,174.78652380032906,177.08427562957291,140737
2025-07-14,180.48182678222656,184.45871436176054,175.8568507117097,175.95505138609593,440097
2025-07-15,179.5293426513672,182.6224692056962,178.87144006621313,180.3836316079625,91970
2025-07-16,178.03677368164062,181.080814785248,177.6832722307915,179.52933702781684,99785
