Price,Close,High,Low,Open,Volume
Ticker,AEGISLOG.NS,AEGISLOG.NS,AEGISLOG.NS,AEGISLOG.NS,AEGISLOG.NS
2025-05-27,800.7503051757812,822.2718611072897,789.618465900863,799.5134341452348,1212866
2025-05-28,791.6963500976562,806.2419648530808,788.0847230844771,801.4923923844357,501580
2025-05-29,780.8614501953125,793.972283237192,774.7760205125762,791.6963922052133,382231
2025-05-30,788.530029296875,816.334865403277,783.6814707871459,783.6814707871459,1212376
2025-06-02,781.6035766601562,803.273521180511,779.6740457468269,791.5974705684453,757716
2025-06-03,779.0308227539062,791.5974442603579,773.8854272873955,786.155211831068,370592
2025-06-04,791.1026611328125,796.3964446512999,778.2886659874906,779.0307885589098,378392
2025-06-05,797.5838623046875,799.0186447052673,787.194146181585,791.5974189030512,626251
2025-06-06,791.5479736328125,804.0156090983778,788.6289460072921,799.7607849565795,305289
2025-06-09,795.110107421875,803.4219043426316,787.4415075511384,791.5974060115167,417899
2025-06-10,792.5869140625,801.9376706330665,788.0847158304761,796.5449011489544,322825
2025-06-11,794.0711669921875,812.228408771382,791.5974250389409,797.5344057267329,545320
2025-06-12,793.8237915039062,800.6018202871261,790.6079269699235,795.9017105836127,345332
2025-06-13,781.999267578125,791.5479353504504,773.7864566515617,776.7549468944705,167059
2025-06-16,767.1073608398438,789.6678748199081,763.9409591387267,782.6424720030674,312585
2025-06-17,776.0623168945312,781.7024606514676,764.8810152956765,771.906418316047,269260
2025-06-18,766.365234375,781.5539853595933,763.0999071724266,780.4655630900984,179193
2025-06-19,792.4384765625,798.8207429082157,767.1073830096594,770.4221730836675,2875561
2025-06-20,779.1792602539062,806.340959249235,768.5916325100001,796.4954540986761,1385969
2025-06-23,777.3486328125,784.7698585345927,764.88099775702,772.4506721511905,301300
2025-06-24,779.1298217773438,784.6709798227423,774.5781001598228,782.1972377678156,364579
2025-06-25,789.7443237304688,796.093253648501,782.1554337160072,787.6611132671773,264059
2025-06-26,818.8104248046875,837.2619070683204,790.6371326225727,790.6371326225727,2157366
2025-06-27,774.9136962890625,838.7499324522935,764.3486965753899,824.3656935160922,2271542
2025-06-30,769.6063842773438,790.5379686387668,767.8207666969272,778.7329481357724,926066
2025-07-01,738.6058959960938,783.6434707195754,724.2712450145447,773.7728941272218,2010055
2025-07-02,739.597900390625,750.7084974643251,735.1338260746826,744.0123859904114,516157
2025-07-03,741.6315307617188,751.9485268532653,737.0682789603907,739.5979089926027,397812
2025-07-04,748.030029296875,751.6013250236059,739.2507074959401,744.0123745836994,414989
2025-07-07,752.3453369140625,760.5790617445807,739.6474772910327,749.8156464038001,436495
2025-07-08,749.220458984375,758.4462002922825,741.2347382970971,755.3213846570252,278134
2025-07-09,737.5146484375,751.6012942626675,733.9433528569322,750.6588665171893,459313
2025-07-10,741.7803344726562,747.434840606297,737.0682561192692,739.052289110169,240199
2025-07-11,732.9017944335938,749.865313290597,729.1321437591097,745.9964246351708,358599
2025-07-14,731.9593505859375,737.0186710666027,717.5255226149907,734.6873959619813,484418
2025-07-15,745.053955078125,746.9883992974354,731.4633173770817,732.1081522994785,313091
2025-07-16,739.6474609375,753.4365141851896,735.6793950300072,746.9884070855138,247294
2025-07-17,745.5499877929688,750.2124774483398,740.1434857632688,740.1434857632688,220666
2025-07-18,741.1500244140625,757.2999877929688,737.0,751.5,275059
2025-07-21,757.0,758.9000244140625,733.3499755859375,742.4000244140625,390472
2025-07-22,751.9000244140625,761.0,749.5499877929688,759.0,249542
2025-07-23,753.4500122070312,758.5,749.4500122070312,751.7999877929688,159980
2025-07-24,752.3499755859375,755.5499877929688,747.0,755.0,185212
2025-07-25,736.2000122070312,752.9500122070312,733.0499877929688,750.0,202820
2025-07-28,733.0,741.5,726.0499877929688,736.0,179601
2025-07-29,725.0499877929688,733.6500244140625,720.0,727.2000122070312,161038
2025-07-30,722.75,737.5,720.0,726.0499877929688,127210
2025-07-31,719.7000122070312,729.7999877929688,716.2999877929688,722.9500122070312,302843
2025-08-01,707.0499877929688,722.7000122070312,705.0,720.0,333288
2025-08-04,731.9500122070312,747.2000122070312,705.25,710.0499877929688,942254
2025-08-05,721.25,736.2999877929688,715.75,734.0,141871
2025-08-06,712.1500244140625,727.5,708.4000244140625,725.5,326054
