Price,Close,High,Low,Open,Volume
Ticker,AERONEU.NS,AERONEU.NS,AERONEU.NS,AERONEU.NS,AERONEU.NS
2025-05-27,99.66000366210938,102.98999786376953,98.01000213623047,101.05999755859375,34665
2025-05-28,103.83999633789062,109.88999938964844,99.06999969482422,101.58999633789062,85593
2025-05-29,106.33000183105469,108.98999786376953,101.76000213623047,104.91000366210938,24940
2025-05-30,106.88999938964844,108.98999786376953,102.80999755859375,107.04000091552734,30156
2025-06-02,106.38999938964844,108.9800033569336,105.0,108.9800033569336,27427
2025-06-03,105.20999908447266,108.25,101.06999969482422,101.25,29606
2025-06-04,105.58000183105469,107.5,99.94000244140625,99.94000244140625,20631
2025-06-05,105.73999786376953,107.0,103.0,105.58000183105469,20833
2025-06-06,104.95999908447266,106.0,102.44999694824219,104.0,8445
2025-06-09,106.08000183105469,107.5,102.5,104.0,20411
2025-06-10,107.25,109.0,104.0,104.0,93239
2025-06-11,110.0,112.19999694824219,106.0,110.0,152233
2025-06-12,109.98999786376953,112.9000015258789,108.5,110.0,120360
2025-06-13,108.66999816894531,111.0,107.5,107.5,5295
2025-06-16,106.63999938964844,112.5,106.5,112.30000305175781,9318
2025-06-17,108.0,111.11000061035156,106.55000305175781,106.55000305175781,2029
2025-06-18,108.56999969482422,109.69999694824219,103.5,106.0,7798
2025-06-19,112.7699966430664,113.9000015258789,103.13999938964844,106.4000015258789,59787
2025-06-20,116.13999938964844,116.80000305175781,111.0999984741211,112.5,18647
2025-06-23,117.06999969482422,118.0,114.0,115.0,14539
2025-06-24,118.33000183105469,118.5,116.69999694824219,117.0,13914
2025-06-25,118.58999633789062,124.19999694824219,117.44999694824219,119.94999694824219,10274
2025-06-26,117.58000183105469,123.6500015258789,117.0999984741211,120.30000305175781,21296
2025-06-27,120.16000366210938,121.0,117.0,118.0,4297
2025-06-30,119.9000015258789,121.0,118.0,121.0,2429
2025-07-01,117.87000274658203,120.0,115.75,118.0,8194
2025-07-02,119.0,120.69999694824219,115.0,120.0,21042
2025-07-03,121.98999786376953,122.9000015258789,118.0,119.19999694824219,16882
2025-07-04,120.69999694824219,122.58999633789062,120.0,122.58999633789062,5684
2025-07-07,120.0,121.9000015258789,119.0,120.5,3400
2025-07-08,118.45999908447266,121.0,118.25,119.0,3070
