Price,Close,High,Low,Open,Volume
Ticker,AFFLE.NS,AFFLE.NS,AFFLE.NS,AFFLE.NS,AFFLE.NS
2025-05-27,1677.4000244140625,1718.9000244140625,1672.0,1704.0,107584
2025-05-28,1736.699951171875,1745.9000244140625,1660.0999755859375,1678.0,236980
2025-05-29,1743.699951171875,1767.0,1717.0,1735.0,235180
2025-05-30,1735.5999755859375,1779.9000244140625,1677.0,1744.0,255739
2025-06-02,1776.4000244140625,1785.0,1730.0,1740.0,291229
2025-06-03,1787.5,1825.0,1771.5999755859375,1782.199951171875,359914
2025-06-04,1802.800048828125,1829.0,1790.9000244140625,1796.5,318614
2025-06-05,1789.0,1824.0,1783.0999755859375,1803.199951171875,235440
2025-06-06,1799.199951171875,1814.0,1782.699951171875,1785.199951171875,174597
2025-06-09,1868.699951171875,1888.0,1804.5,1813.5999755859375,362957
2025-06-10,1939.0,1985.0,1867.0,1875.0,1802997
2025-06-11,1921.699951171875,1952.300048828125,1898.0,1947.0,333950
2025-06-12,1898.699951171875,1946.0999755859375,1890.0,1922.5,307776
2025-06-13,1926.5,1947.0,1841.5,1841.5,469009
2025-06-16,1961.0999755859375,1964.5,1885.0,1926.5,346252
2025-06-17,1941.300048828125,1960.0,1921.0,1950.0,206861
2025-06-18,1903.4000244140625,1940.0,1889.9000244140625,1940.0,300154
2025-06-19,1900.199951171875,1929.0,1885.0999755859375,1901.9000244140625,236639
2025-06-20,1899.699951171875,1927.5,1890.5,1898.0,391536
2025-06-23,1902.5999755859375,1921.699951171875,1884.5,1885.0,222679
2025-06-24,1910.800048828125,1960.0,1897.0,1912.0,242273
2025-06-25,1937.800048828125,1952.0,1917.0999755859375,1922.0,619286
2025-06-26,1956.5999755859375,1977.0,1927.5,1952.0,327846
2025-06-27,1984.0999755859375,2032.0,1955.699951171875,1961.9000244140625,478557
2025-06-30,1998.300048828125,2040.0,1991.0,1999.0,388078
2025-07-01,1963.4000244140625,2025.0,1952.0,1998.300048828125,206381
2025-07-02,1968.800048828125,2000.0,1946.5999755859375,1973.0999755859375,184739
2025-07-03,2044.800048828125,2080.0,1975.0999755859375,1979.0,835635
2025-07-04,2012.0,2059.0,2007.199951171875,2040.0,303551
2025-07-07,1987.0,2046.800048828125,1980.0999755859375,2012.0,263754
2025-07-08,1978.699951171875,2003.4000244140625,1907.800048828125,1987.0,413444
2025-07-09,1989.800048828125,2006.199951171875,1972.0,1977.4000244140625,115020
2025-07-10,1960.5999755859375,2000.4000244140625,1952.5,1992.0,82827
2025-07-11,1987.5999755859375,2017.5999755859375,1941.0,1962.800048828125,419049
2025-07-14,1966.5999755859375,2004.0,1955.0,1980.0,157240
2025-07-15,1964.9000244140625,1992.0999755859375,1960.0999755859375,1980.0,131207
2025-07-16,1951.800048828125,1979.5,1936.0,1967.699951171875,262878
2025-07-17,1942.4000244140625,1980.9000244140625,1926.0,1953.0,84251
2025-07-18,1903.800048828125,1951.0,1893.300048828125,1948.5,108853
2025-07-21,1903.699951171875,1920.0,1868.0999755859375,1894.199951171875,108467
2025-07-22,1897.300048828125,1920.699951171875,1890.0,1908.9000244140625,51140
2025-07-23,1879.0,1903.0,1873.699951171875,1900.0,66751
2025-07-24,1855.5,1888.9000244140625,1849.0,1883.5999755859375,110079
2025-07-25,1801.5999755859375,1856.9000244140625,1790.300048828125,1855.5,119887
2025-07-28,1839.800048828125,1873.0,1773.0,1805.0,610759
2025-07-29,1985.4000244140625,2025.0,1805.0999755859375,1839.800048828125,1036747
2025-07-30,1983.300048828125,1999.300048828125,1931.5999755859375,1975.0999755859375,285354
2025-07-31,1958.0,1987.9000244140625,1901.0,1950.0,257872
2025-08-01,1947.4000244140625,1980.0999755859375,1936.0,1949.800048828125,121002
2025-08-04,1913.800048828125,1957.0999755859375,1902.199951171875,1944.5999755859375,202584
2025-08-05,1958.800048828125,1969.9000244140625,1905.5999755859375,1911.9000244140625,402502
2025-08-06,1950.199951171875,1989.0,1934.800048828125,1960.0,141329
2025-08-07,1949.9000244140625,1958.9000244140625,1926.5,1926.5,130164
2025-08-08,1969.9000244140625,1984.0,1930.0,1949.9000244140625,360771
2025-08-11,1982.0,1992.0,1952.9000244140625,1979.800048828125,133072
2025-08-12,1980.0,2005.0,1954.0,1975.0,195861
2025-08-13,1983.5,2010.0,1973.0999755859375,1973.0999755859375,190783
2025-08-14,1964.699951171875,2005.0,1950.0,1987.5,184499
2025-08-18,1934.9000244140625,2002.0,1924.0999755859375,1976.0,173718
2025-08-19,1958.300048828125,1967.0,1910.0,1930.0,172874
2025-08-20,1948.9000244140625,1961.4000244140625,1937.5,1948.0,130233
2025-08-21,1937.300048828125,1970.0,1931.0,1934.0,165595
2025-08-22,1948.4000244140625,1959.4000244140625,1912.800048828125,1946.800048828125,134758
2025-08-25,1936.300048828125,1958.199951171875,1926.0,1955.0,111721
2025-08-26,1894.699951171875,1939.9000244140625,1885.0,1935.0,245848
2025-08-28,1893.9000244140625,1902.9000244140625,1873.0,1900.0,152171
2025-08-29,1907.5999755859375,1922.699951171875,1872.0999755859375,1883.0,158594
2025-09-01,1910.199951171875,1918.0999755859375,1889.5,1900.0,159758
2025-09-02,1901.0,1916.9000244140625,1895.0,1911.0,260917
2025-09-03,1904.4000244140625,1954.9000244140625,1885.5,1900.9000244140625,465285
2025-09-04,1906.5,1945.0,1886.5,1945.0,464560
2025-09-05,1929.4000244140625,1939.9000244140625,1903.0,1913.9000244140625,334716
2025-09-08,1941.5999755859375,1953.9000244140625,1925.5999755859375,1935.199951171875,144878
2025-09-09,2070.199951171875,2108.89990234375,1937.0,1942.0,2071121
2025-09-10,2028.4000244140625,2093.89990234375,2014.699951171875,2090.0,394621
2025-09-11,2099.60009765625,2108.0,2028.0,2029.9000244140625,649012
2025-09-12,2075.89990234375,2133.699951171875,2063.800048828125,2115.0,543185
2025-09-15,2053.39990234375,2084.699951171875,2042.9000244140625,2083.0,177269
2025-09-16,2067.699951171875,2082.0,2034.4000244140625,2053.0,162437
2025-09-17,2145.699951171875,2162.0,2064.300048828125,2067.699951171875,800022
2025-09-18,2104.800048828125,2153.800048828125,2091.10009765625,2153.800048828125,185193
2025-09-19,2145.199951171875,2185.0,2095.0,2104.800048828125,644067
2025-09-22,2146.699951171875,2185.89990234375,2122.0,2143.10009765625,350546
2025-09-23,2084.199951171875,2150.199951171875,2070.0,2146.699951171875,168647
2025-09-24,2038.5999755859375,2099.0,2030.0,2086.699951171875,178959
2025-09-25,2062.699951171875,2077.0,2029.5999755859375,2030.0,164790
2025-09-26,2006.4000244140625,2063.60009765625,1985.199951171875,2055.0,233179
2025-09-29,1956.300048828125,2016.699951171875,1950.5,2013.199951171875,293918
2025-09-30,1947.699951171875,1994.300048828125,1939.0,1990.0,121895
2025-10-01,1964.800048828125,1976.5,1934.5,1947.699951171875,124043
2025-10-03,1938.5999755859375,1979.0,1915.5999755859375,1975.0999755859375,173968
2025-10-06,1938.699951171875,1965.800048828125,1912.5,1936.699951171875,200132
2025-10-07,1886.9000244140625,1952.699951171875,1878.800048828125,1945.300048828125,221993
2025-10-08,1934.5999755859375,1952.0999755859375,1890.0,1902.699951171875,299344
2025-10-09,1957.4000244140625,1962.0,1922.4000244140625,1932.800048828125,161670
2025-10-10,1967.4000244140625,1993.699951171875,1942.5,1967.0,182765
2025-10-13,1956.0,1965.800048828125,1941.0,1960.0,126788
2025-10-14,1918.699951171875,1964.0,1911.0999755859375,1959.9000244140625,127111
2025-10-15,1911.5,1948.699951171875,1906.0,1917.0,162032
2025-10-16,1946.699951171875,1978.5999755859375,1917.300048828125,1932.0999755859375,161134
2025-10-17,1892.0999755859375,1945.5999755859375,1889.0,1945.0,160131
2025-10-20,1886.4000244140625,1910.9000244140625,1878.300048828125,1896.0,143291
2025-10-21,1880.9000244140625,1912.199951171875,1872.4000244140625,1886.699951171875,37593
2025-10-23,1900.5,1935.9000244140625,1863.0,1880.9000244140625,217717
2025-10-24,1887.4000244140625,1904.300048828125,1877.0,1900.5,102177
2025-10-27,1919.5999755859375,1929.0,1884.199951171875,1887.4000244140625,110154
2025-10-28,1922.0,1952.0,1914.5,1919.5999755859375,160468
2025-10-29,1909.699951171875,1923.300048828125,1886.4000244140625,1923.300048828125,138464
2025-10-30,1933.0,1942.9000244140625,1905.300048828125,1921.9000244140625,90219
2025-10-31,1930.5999755859375,1960.199951171875,1920.0,1946.5999755859375,118296
2025-11-03,1897.0,1952.300048828125,1885.4000244140625,1950.0,234163
2025-11-04,1832.800048828125,1900.0,1802.0,1900.0,666235
2025-11-06,1778.0,1832.800048828125,1755.5999755859375,1832.0,369952
2025-11-07,1747.199951171875,1775.0,1733.0999755859375,1775.0,288116
2025-11-10,1743.800048828125,1753.300048828125,1710.0,1747.199951171875,261717
2025-11-11,1735.4000244140625,1760.9000244140625,1729.300048828125,1760.0,76004
2025-11-12,1775.300048828125,1779.0,1714.300048828125,1740.0999755859375,296505
2025-11-13,1733.699951171875,1785.800048828125,1728.0,1785.800048828125,147125
2025-11-14,1723.9000244140625,1740.0,1717.699951171875,1724.9000244140625,115357
2025-11-17,1728.5999755859375,1741.199951171875,1720.0999755859375,1724.800048828125,126286
2025-11-18,1693.199951171875,1730.0,1677.0999755859375,1730.0,253479
2025-11-19,1686.5999755859375,1705.300048828125,1673.0999755859375,1693.699951171875,142612
2025-11-20,1719.0,1728.0,1672.0999755859375,1690.9000244140625,201116
2025-11-21,1719.0,1729.0,1705.0,1719.0,136320
2025-11-24,1715.300048828125,1720.0,1685.0999755859375,1719.0,210899
2025-11-25,1680.9000244140625,1715.5999755859375,1677.0,1715.300048828125,197807
2025-11-26,1669.0999755859375,1688.4000244140625,1665.0,1681.0,183222
2025-11-27,1673.199951171875,1692.800048828125,1660.0,1680.0,333425
2025-11-28,1660.9000244140625,1697.0,1657.4000244140625,1676.5,190611
2025-12-01,1694.800048828125,1719.0,1656.199951171875,1660.5,253604
2025-12-02,1658.300048828125,1696.0,1649.0,1694.0,186058
2025-12-03,1631.4000244140625,1660.0999755859375,1622.4000244140625,1658.300048828125,326832
2025-12-04,1645.699951171875,1654.0,1620.199951171875,1631.5,199392
2025-12-05,1632.800048828125,1652.199951171875,1619.5999755859375,1650.0,459363
2025-12-08,1610.0999755859375,1648.0,1583.0,1630.0,269006
2025-12-09,1642.0,1648.5999755859375,1579.5999755859375,1592.9000244140625,201208
2025-12-10,1633.5999755859375,1676.800048828125,1625.0,1641.9000244140625,274194
2025-12-11,1664.800048828125,1670.199951171875,1617.0,1626.0,141903
2025-12-12,1685.800048828125,1690.0,1664.800048828125,1672.0,142276
2025-12-15,1700.4000244140625,1713.9000244140625,1669.0,1687.4000244140625,121705
2025-12-16,1711.5999755859375,1729.9000244140625,1685.0,1700.4000244140625,205603
2025-12-17,1676.5,1714.5999755859375,1659.0999755859375,1714.5999755859375,163225
2025-12-18,1674.0999755859375,1705.5999755859375,1632.800048828125,1665.0,352092
2025-12-19,1719.0,1758.5,1669.699951171875,1674.0999755859375,742479
2025-12-22,1712.199951171875,1740.0,1697.5,1740.0,145870
2025-12-23,1766.0,1774.699951171875,1702.5999755859375,1713.9000244140625,250722
2025-12-24,1780.5999755859375,1787.0,1750.199951171875,1778.699951171875,259861
2025-12-26,1781.9000244140625,1786.199951171875,1748.0,1776.0,120863
2025-12-29,1758.800048828125,1786.4000244140625,1746.800048828125,1781.9000244140625,105943
2025-12-30,1772.800048828125,1805.0,1740.199951171875,1759.0999755859375,562515
2025-12-31,1799.4000244140625,1803.0999755859375,1767.4000244140625,1785.5999755859375,160471
2026-01-01,1781.4000244140625,1802.5999755859375,1774.0,1801.0,65102
2026-01-02,1782.699951171875,1792.800048828125,1760.0,1782.0,103527
2026-01-05,1821.9000244140625,1825.300048828125,1776.300048828125,1782.0,297576
2026-01-06,1814.0999755859375,1829.0999755859375,1809.0,1821.9000244140625,86988
2026-01-07,1799.800048828125,1825.0,1793.300048828125,1814.0999755859375,77537
2026-01-08,1793.4000244140625,1811.4000244140625,1780.0,1798.0,233500
2026-01-09,1783.9000244140625,1801.5999755859375,1773.0,1780.0,202604
2026-01-12,1726.9000244140625,1780.300048828125,1687.300048828125,1760.800048828125,339134
2026-01-13,1733.699951171875,1790.0,1719.4000244140625,1739.9000244140625,75501
2026-01-14,1734.199951171875,1741.0,1715.0999755859375,1719.0,61442
2026-01-15,1734.199951171875,1734.199951171875,1734.199951171875,1734.199951171875,0
2026-01-16,1723.5,1757.5,1708.199951171875,1729.0,79038
2026-01-19,1692.4000244140625,1740.0,1667.4000244140625,1730.0,160187
2026-01-20,1656.300048828125,1687.199951171875,1634.0999755859375,1682.699951171875,228619
2026-01-21,1616.5999755859375,1645.199951171875,1586.800048828125,1645.199951171875,213481
2026-01-22,1609.4000244140625,1645.0,1601.300048828125,1625.4000244140625,74709
2026-01-23,1579.800048828125,1612.5999755859375,1573.0,1610.0,139683
2026-01-27,1538.0999755859375,1580.300048828125,1508.0,1579.9000244140625,257125
2026-01-28,1561.5999755859375,1568.800048828125,1528.699951171875,1538.0999755859375,193246
2026-01-29,1534.800048828125,1567.5,1525.0,1561.300048828125,127037
2026-01-30,1547.199951171875,1593.9000244140625,1510.0,1525.0,306834
2026-02-02,1594.9000244140625,1610.0,1558.0,1599.9000244140625,251302
2026-02-03,1646.0999755859375,1660.0,1601.5999755859375,1658.0,254620
2026-02-04,1654.199951171875,1659.5,1616.0,1638.0,113825
2026-02-05,1663.300048828125,1670.9000244140625,1615.5999755859375,1645.0,121581
2026-02-06,1647.4000244140625,1669.800048828125,1618.300048828125,1643.300048828125,173242
2026-02-09,1649.800048828125,1677.0,1635.0,1654.0,185722
2026-02-10,1664.0999755859375,1677.0,1636.699951171875,1650.0,174729
2026-02-11,1650.300048828125,1698.0,1635.0999755859375,1698.0,249241
2026-02-12,1623.5,1654.699951171875,1615.0,1651.0999755859375,86233
2026-02-13,1560.5,1610.0,1553.0,1605.699951171875,368172
2026-02-16,1581.0999755859375,1594.0,1548.4000244140625,1559.699951171875,67309
2026-02-17,1561.199951171875,1595.0,1556.4000244140625,1571.0,121513
2026-02-18,1519.5,1567.699951171875,1512.0,1561.199951171875,223673
2026-02-19,1502.0,1536.5,1491.0999755859375,1522.0,99743
2026-02-20,1486.199951171875,1513.0,1467.0,1500.0,200949
2026-02-23,1509.5999755859375,1527.699951171875,1499.0,1500.0,217555
2026-02-24,1398.5,1500.0999755859375,1394.0,1500.0,608427
