Price,Close,High,Low,Open,Volume
Ticker,AFFORDABLE.NS,AFFORDABLE.NS,AFFORDABLE.NS,AFFORDABLE.NS,AFFORDABLE.NS
2025-05-27,428.29998779296875,432.0,422.5,430.1499938964844,20585
2025-05-28,419.25,435.0,410.70001220703125,432.1000061035156,39814
2025-05-29,393.45001220703125,410.1000061035156,386.04998779296875,410.1000061035156,48315
2025-05-30,396.0,399.0,386.6000061035156,393.3500061035156,19898
2025-06-02,429.20001220703125,438.3999938964844,389.70001220703125,398.0,79331
2025-06-03,433.25,459.0,429.0,437.79998779296875,45846
2025-06-04,426.0,442.0,416.6000061035156,428.8999938964844,27297
2025-06-05,437.6499938964844,441.20001220703125,420.54998779296875,429.5,16581
2025-06-06,438.5,444.8999938964844,428.1000061035156,443.70001220703125,16312
2025-06-09,442.6499938964844,456.70001220703125,435.8999938964844,438.5,60118
2025-06-10,437.54998779296875,449.29998779296875,433.1000061035156,449.29998779296875,13564
2025-06-11,457.5,458.75,436.25,437.0,42542
2025-06-12,464.25,475.95001220703125,453.04998779296875,462.1000061035156,35224
2025-06-13,451.8500061035156,477.0,442.5,451.3999938964844,75057
2025-06-16,449.70001220703125,455.45001220703125,431.0,455.45001220703125,23318
2025-06-17,456.29998779296875,476.3999938964844,445.0,453.1000061035156,34355
2025-06-18,454.8999938964844,463.45001220703125,446.5,456.29998779296875,17527
2025-06-19,446.25,459.45001220703125,433.6499938964844,459.45001220703125,23310
2025-06-20,473.5,488.8999938964844,438.0,441.79998779296875,39276
2025-06-23,468.75,479.8999938964844,459.6000061035156,479.8999938964844,15902
2025-06-24,464.3999938964844,475.45001220703125,455.04998779296875,467.04998779296875,14908
2025-06-25,457.8500061035156,470.3999938964844,450.45001220703125,467.6000061035156,19522
2025-06-26,450.3999938964844,461.95001220703125,447.0,457.0,13425
2025-06-27,449.95001220703125,457.45001220703125,443.3999938964844,454.95001220703125,10938
2025-06-30,454.54998779296875,459.8999938964844,446.25,451.0,11419
2025-07-01,457.75,470.0,442.04998779296875,459.8999938964844,15477
2025-07-02,472.75,477.0,450.0,453.0,30079
2025-07-03,501.54998779296875,504.8999938964844,465.5,480.0,48459
2025-07-04,507.70001220703125,511.6499938964844,492.1499938964844,509.8999938964844,19955
2025-07-07,505.3999938964844,519.7999877929688,495.95001220703125,500.0,23303
2025-07-08,504.8500061035156,508.8500061035156,485.25,498.0,7649
2025-07-09,497.0,514.9000244140625,490.25,508.6499938964844,13567
2025-07-10,500.8500061035156,514.0,495.54998779296875,500.75,12712
2025-07-11,494.54998779296875,506.95001220703125,490.25,506.95001220703125,15061
2025-07-14,496.3500061035156,510.0,482.70001220703125,499.5,10468
2025-07-15,490.1499938964844,509.95001220703125,487.95001220703125,509.95001220703125,9542
2025-07-16,509.1000061035156,517.75,486.45001220703125,490.54998779296875,17206
2025-07-17,523.1500244140625,534.4000244140625,502.1499938964844,519.0,189446
2025-07-18,466.54998779296875,528.5999755859375,464.04998779296875,528.5999755859375,191025
2025-07-21,455.25,470.29998779296875,448.0,468.1000061035156,37234
2025-07-22,435.95001220703125,458.45001220703125,434.79998779296875,457.0,30422
2025-07-23,435.54998779296875,442.04998779296875,430.04998779296875,440.29998779296875,13342
2025-07-24,429.5,442.1000061035156,425.95001220703125,442.1000061035156,26728
2025-07-25,420.20001220703125,433.95001220703125,412.5,426.0,11886
2025-07-28,417.79998779296875,420.20001220703125,407.25,420.20001220703125,18946
2025-07-29,414.8999938964844,422.0,405.6000061035156,422.0,14247
2025-07-30,411.3500061035156,435.0,407.1499938964844,416.95001220703125,42451
2025-07-31,414.3500061035156,418.95001220703125,399.54998779296875,411.95001220703125,11488
2025-08-01,387.6499938964844,417.0,381.6000061035156,417.0,31450
2025-08-04,389.20001220703125,399.1499938964844,382.0,391.54998779296875,27517
2025-08-05,383.75,394.25,378.1499938964844,384.0,28081
2025-08-06,378.54998779296875,386.0,368.8999938964844,379.1000061035156,23194
2025-08-07,401.75,416.3999938964844,371.54998779296875,380.0,175869
2025-08-08,404.6499938964844,407.25,400.04998779296875,402.6499938964844,9222
2025-08-11,392.29998779296875,405.0,381.0,405.0,11843
2025-08-12,392.54998779296875,400.0,365.54998779296875,389.95001220703125,42626
2025-08-13,388.8500061035156,396.45001220703125,376.1000061035156,388.6499938964844,24611
2025-08-14,392.1000061035156,396.0,384.1499938964844,385.0,8071
2025-08-18,396.95001220703125,405.0,394.0,399.0,13163
2025-08-19,396.20001220703125,409.95001220703125,393.79998779296875,409.95001220703125,9276
2025-08-20,401.3500061035156,406.0,392.54998779296875,404.6499938964844,13313
2025-08-21,396.04998779296875,405.0,393.3500061035156,404.70001220703125,10328
2025-08-22,398.70001220703125,403.8999938964844,393.0,403.0,5715
2025-08-25,348.8500061035156,398.70001220703125,344.0,398.70001220703125,138347
2025-08-26,279.1000061035156,356.79998779296875,279.1000061035156,356.79998779296875,437478
2025-08-28,281.04998779296875,300.0,275.0,275.0,374605
