Price,Close,High,Low,Open,Volume
Ticker,AHLEAST.NS,AHLEAST.NS,AHLEAST.NS,AHLEAST.NS,AHLEAST.NS
2025-05-27,140.8866729736328,141.8899498822749,139.06884271075188,140.03239233354617,4811
2025-05-28,139.68470764160156,144.02565233620453,138.40329431995463,144.02565233620453,2740
2025-05-29,142.80381774902344,143.04222691718,139.784044072206,142.9230299117516,10264
2025-05-30,142.77401733398438,146.36000707195856,140.0721074127645,144.02564650998013,8173
2025-06-02,139.15823364257812,141.234329054836,138.0754870580762,139.07876391748164,11905
2025-06-03,139.02911376953125,142.0488876489397,138.2244884570095,141.38334572848163,18239
2025-06-04,138.1549530029297,141.30386688187835,137.4496686853091,141.02573043030117,4852
2025-06-05,138.2841033935547,140.4595246950855,137.82715624238554,139.54564555004814,6226
2025-06-06,138.82049560546875,140.32044684554387,138.13508250432386,140.32044684554387,9381
2025-06-09,139.863525390625,140.55886657543905,138.26423308690215,139.0589152226758,14532
2025-06-10,143.00250244140625,149.99567144763355,139.05890642321228,141.5621345301419,55024
2025-06-11,146.04214477539062,147.05534963782497,142.94288621337438,142.94288621337438,27652
2025-06-12,147.03549194335938,148.0089695122146,143.0422255688517,146.77721155763274,40623
2025-06-13,146.23089599609375,147.2639721670413,142.6747051697437,145.68455107801046,7464
2025-06-16,144.5719757080078,147.00569236060431,143.64816861213046,147.00569236060431,2837
2025-06-17,142.9627685546875,145.98255762876573,141.35354822433194,144.9295950870444,1345
2025-06-18,146.2110137939453,146.5189494999297,138.72115527718296,138.72115527718296,3501
2025-06-19,146.20108032226562,149.99568030481916,144.03558704767403,148.85333516012005,13666
2025-06-20,145.903076171875,147.7109631008444,144.0355755829464,147.7109631008444,9854
2025-06-23,144.05545043945312,146.86662942515446,144.0355792189651,146.76728848001443,7506
2025-06-24,144.5421905517578,146.91629377654297,144.09518658573487,144.1349290291553,2001
2025-06-25,146.69775390625,147.80037175869418,145.0289350794701,146.6580266206461,5425
2025-06-26,145.29713439941406,147.1050213482927,144.54217960461426,147.1050213482927,2468
2025-06-27,144.52232360839844,147.71096479566398,144.035577235595,146.35008177832574,11771
2025-06-30,148.72418212890625,153.97899056153346,144.25411257157623,145.90307520158765,9188
2025-07-01,155.7968292236328,157.09811378551152,146.51895464839504,146.51895464839504,32916
2025-07-02,154.82334899902344,157.53518705648173,153.07506051768664,155.95576605709505,6737
2025-07-03,155.3398895263672,156.94910972511153,151.79362705011238,152.24063097673027,9472
2025-07-04,156.69085693359375,157.94247105894195,154.07834454310012,155.90610283458344,7944
2025-07-07,153.9690704345703,158.8364736950656,153.07506254012847,156.9491169591104,7365
2025-07-08,159.02520751953125,159.92915857531764,153.3531942966561,155.5484866809374,13928
2025-07-09,164.09129333496094,164.88597541919552,157.2272493788684,157.2272493788684,23008
2025-07-10,159.62123107910156,164.88598307979345,154.9624224905944,164.88598307979345,26137
2025-07-11,159.60134887695312,160.30663318974524,155.95576062267483,158.93580700399983,8484
2025-07-14,158.4093475341797,161.91586787746962,153.96907681599873,157.70406315826168,14544
