Price,Close,High,Low,Open,Volume
Ticker,AHLWEST.NS,AHLWEST.NS,AHLWEST.NS,AHLWEST.NS,AHLWEST.NS
2026-04-06,143.85000610351562,143.85000610351562,137.0,137.0,1442
2026-04-07,151.0399932861328,151.0399932861328,151.0399932861328,151.0399932861328,1407
2026-04-08,158.58999633789062,158.58999633789062,158.58999633789062,158.58999633789062,281
2026-04-09,166.50999450683594,166.50999450683594,166.50999450683594,166.50999450683594,515
2026-04-10,174.8300018310547,174.8300018310547,174.8300018310547,174.8300018310547,302
2026-04-13,183.57000732421875,183.57000732421875,183.57000732421875,183.57000732421875,536
2026-04-15,192.74000549316406,192.74000549316406,192.74000549316406,192.74000549316406,864
2026-04-16,202.3699951171875,202.3699951171875,202.3699951171875,202.3699951171875,131
2026-04-17,212.47999572753906,212.47999572753906,212.47999572753906,212.47999572753906,1136
2026-04-20,223.10000610351562,223.10000610351562,223.10000610351562,223.10000610351562,1366
2026-04-21,245.41000366210938,245.41000366210938,245.41000366210938,245.41000366210938,1594
2026-04-22,269.95001220703125,269.95001220703125,269.95001220703125,269.95001220703125,11019
2026-04-23,283.44000244140625,283.44000244140625,283.44000244140625,283.44000244140625,2100
2026-04-24,297.6099853515625,297.6099853515625,297.6099853515625,297.6099853515625,809
2026-04-27,312.489990234375,312.489990234375,312.489990234375,312.489990234375,1144
2026-04-28,328.1099853515625,328.1099853515625,328.1099853515625,328.1099853515625,633
2026-04-29,344.510009765625,344.510009765625,344.510009765625,344.510009765625,954
2026-04-30,361.7300109863281,361.7300109863281,361.7300109863281,361.7300109863281,2195
2026-05-04,379.79998779296875,379.79998779296875,379.79998779296875,379.79998779296875,2872
2026-05-05,398.75,398.75,398.75,398.75,2179
2026-05-06,418.6499938964844,418.6499938964844,418.6499938964844,418.6499938964844,1203
2026-05-07,439.54998779296875,439.54998779296875,439.54998779296875,439.54998779296875,3297
2026-05-08,461.5,461.5,461.5,461.5,27991
2026-05-11,484.54998779296875,484.54998779296875,484.54998779296875,484.54998779296875,800
2026-05-12,508.75,508.75,508.75,508.75,1961
2026-05-13,534.1500244140625,534.1500244140625,534.1500244140625,534.1500244140625,1089
2026-05-14,560.8499755859375,560.8499755859375,560.0,560.0,1007
2026-05-15,588.8499755859375,588.8499755859375,588.8499755859375,588.8499755859375,10856
2026-05-18,618.25,618.25,618.25,618.25,884
2026-05-19,649.1500244140625,649.1500244140625,649.1500244140625,649.1500244140625,1051
2026-05-20,681.5999755859375,681.5999755859375,681.5999755859375,681.5999755859375,2703
2026-05-21,715.6500244140625,715.6500244140625,715.6500244140625,715.6500244140625,2295
2026-05-22,684.0499877929688,751.4000244140625,679.9000244140625,751.4000244140625,12197
2026-05-25,649.8499755859375,649.8499755859375,649.8499755859375,649.8499755859375,2102
2026-05-26,636.0499877929688,682.2999877929688,617.4000244140625,617.4000244140625,13532
2026-05-27,604.25,626.0499877929688,604.25,604.25,7360
